,Year,Selling_Price,Present_Price,Kms_Driven,Owner
5,2018,9.25,9.83,2071,0
6,2015,6.75,8.12,18796,0
12,2015,7.5,9.94,15000,0
13,2015,6.1,7.71,26000,0
14,2009,2.25,7.21,77427,0
18,2015,3.25,5.09,35500,0
21,2017,4.9,5.71,2400,0
22,2011,4.4,8.01,50000,0
28,2010,1.95,3.95,44542,0
35,2011,2.95,7.74,49998,0
39,2003,2.25,7.98,62000,0
42,2008,1.95,7.15,58000,0
45,2014,7.5,12.04,15000,0
56,2015,4.5,7.27,40534,0
59,2014,19.99,35.96,41000,0
60,2013,6.95,18.61,40001,0
62,2014,18.75,35.96,78000,0
63,2015,23.5,35.96,47000,0
65,2014,4.75,6.95,45000,0
67,2010,9.25,20.45,59000,0
68,2011,4.35,13.74,88000,0
82,2017,23.0,25.39,15000,0
88,2013,3.45,6.05,47000,0
93,2015,23.0,30.61,40000,0
99,2010,9.65,20.45,50024,0
101,2017,1.7,1.82,1400,0
105,2015,1.35,2.37,21700,0
110,2016,1.2,1.78,6000,0
112,2014,1.15,2.4,7000,0
116,2013,1.1,1.47,33000,0
130,2017,0.75,0.87,11000,0
132,2017,0.75,0.95,3500,0
138,2016,0.6,0.87,15000,0
139,2015,0.6,0.95,16600,0
144,2014,0.6,0.99,25000,0
145,2012,0.6,0.81,19000,0
164,2016,0.45,0.54,14000,0
171,2015,0.4,0.55,6700,0
175,2011,0.38,0.787,75000,0
178,2014,0.35,0.52,19000,0
186,2010,0.25,0.52,22000,0
188,2013,0.25,0.57,18000,0
194,2008,0.2,0.787,50000,0
195,2015,0.18,0.32,35000,0
201,2010,3.25,6.79,58000,1
213,2011,2.9,6.79,31604,0
218,2014,6.45,9.4,45078,0
225,2011,2.7,4.6,22517,0
234,2015,5.5,5.7,4492,0
247,2015,5.95,9.4,36000,0
250,2016,12.9,13.6,35934,0
259,2014,3.9,7.0,36054,0
262,2015,4.0,5.8,40023,0
263,2016,6.6,7.7,16002,0
265,2017,6.5,8.7,21200,0
267,2016,8.35,9.4,19434,0
272,2015,7.5,10.0,27600,0
273,2010,2.25,7.5,61203,0
274,2014,5.3,6.8,16500,0
277,2015,9.7,13.6,21780,0
278,2016,6.0,8.4,4000,0
281,2006,2.1,7.6,50456,0
282,2014,8.25,14.0,63000,0
288,2015,8.4,13.6,34000,0
291,2015,5.4,6.1,31427,0
