Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
12,4.8,3.4,1.6,0.2
14,4.3,3.0,1.1,0.1
15,5.8,4.0,1.2,0.2
24,5.1,3.3,1.7,0.5
28,5.2,3.5,1.5,0.2
31,4.8,3.1,1.6,0.2
32,5.4,3.4,1.5,0.4
37,5.5,3.5,1.3,0.2
40,5.1,3.4,1.5,0.2
53,6.9,3.1,4.9,1.5
58,4.9,2.4,3.3,1.0
60,5.2,2.7,3.9,1.4
79,6.0,2.9,4.5,1.5
80,5.7,2.6,3.5,1.0
82,5.5,2.4,3.7,1.0
88,6.3,2.3,4.4,1.3
91,5.5,2.6,4.4,1.2
93,5.8,2.6,4.0,1.2
105,6.5,3.0,5.8,2.2
114,5.7,2.5,5.0,2.0
116,6.4,3.2,5.3,2.3
122,5.6,2.8,4.9,2.0
124,6.3,2.7,4.9,1.8
137,6.3,3.4,5.6,2.4
140,6.9,3.1,5.4,2.1
143,5.8,2.7,5.1,1.9
144,6.8,3.2,5.9,2.3
145,6.7,3.3,5.7,2.5
