Year,Present_Price,Kms_Driven,Owner
2013,9.54,43000,0
2018,9.83,2071,0
2015,8.12,18796,0
2009,7.21,77427,0
2015,10.79,41678,0
2012,5.98,51439,0
2014,8.06,45000,0
2003,2.28,127000,0
2003,7.98,62000,0
2006,4.15,65000,0
2017,36.23,6000,0
2014,6.95,45000,0
2017,23.15,11000,0
2011,13.74,88000,0
2011,12.48,45000,0
2014,8.93,83000,0
2015,6.8,36000,0
2017,25.39,15000,0
2006,23.73,142000,3
2010,92.6,78000,0
2014,16.09,58242,0
2005,13.7,75000,0
2008,22.78,89000,0
2016,25.39,29000,0
2016,1.9,3000,0
2015,2.37,21700,0
2014,3.45,16500,1
2016,1.78,6000,0
2016,1.5,8700,0
2015,1.9,14000,0
2013,1.9,5400,0
2012,1.75,11500,0
2017,0.95,3500,0
2017,0.81,11800,0
2015,0.74,5000,0
2015,0.95,16600,0
2016,0.8,20000,0
2015,0.84,29000,0
2010,0.94,45000,0
2017,0.51,4000,0
2010,0.95,27000,0
2016,0.54,500,0
2014,0.64,13700,0
2017,0.51,1300,0
2015,0.72,38600,0
2014,0.52,19000,0
2010,0.52,22000,0
2015,0.32,35000,0
2016,5.7,3493,1
2017,8.1,3435,0
2015,14.79,43535,0
2016,13.6,22671,0
2016,4.43,12500,0
2011,4.43,57000,0
2012,6.79,52132,0
2015,14.79,12900,0
2017,9.4,15141,0
2016,4.43,11849,0
2015,13.6,68000,0
2014,7.13,34000,0
2015,9.4,36000,0
2013,4.6,30000,0
2013,9.9,54242,0
2012,5.35,53675,0
2015,13.6,25000,0
2015,7.0,40026,0
2016,13.6,30753,0
2015,13.6,24800,0
2014,13.6,40126,0
2006,7.6,50456,0
2016,11.8,9010,0
2016,7.9,28569,0
2015,13.6,34000,0
2016,13.6,10980,0
2010,9.9,38000,0
2014,6.8,33019,0
2015,5.9,60000,0
