,Present_Price
0,5.59
1,9.54
3,4.15
4,6.87
5,9.83
6,8.12
7,8.61
8,8.89
11,10.38
12,9.94
13,7.71
14,7.21
16,10.79
18,5.09
19,7.98
20,3.95
24,4.41
25,4.99
26,5.87
28,3.95
29,10.38
31,4.89
32,7.49
33,9.95
34,8.06
36,7.2
39,7.98
40,7.87
41,3.98
42,7.15
43,8.06
44,2.69
46,4.89
47,4.15
48,7.71
49,9.29
50,30.61
51,30.61
53,30.61
54,10.21
55,15.04
56,7.27
57,18.54
59,35.96
60,18.61
62,35.96
64,36.23
66,23.15
67,20.45
68,13.74
69,20.91
70,6.76
71,12.48
73,5.71
74,8.93
75,6.8
76,14.68
77,12.35
78,22.83
79,30.61
80,14.89
83,13.46
86,92.6
87,13.74
88,6.05
89,6.76
90,18.61
91,16.09
92,13.7
93,30.61
94,22.78
95,18.61
96,25.39
97,18.64
98,18.61
99,20.45
100,1.9
101,1.82
103,1.6
104,1.47
105,2.37
106,3.45
108,1.5
109,1.47
112,2.4
113,1.4
114,1.47
116,1.47
117,1.9
118,1.47
119,1.9
120,1.26
122,1.17
125,1.75
127,0.8
128,0.87
129,0.84
130,0.87
131,0.82
132,0.95
134,0.81
137,0.787
138,0.87
139,0.95
140,1.2
141,0.8
142,0.84
143,0.84
144,0.99
145,0.81
146,0.787
147,0.84
148,0.94
150,0.826
151,0.55
153,0.99
154,0.88
158,0.54
160,0.95
161,0.826
162,0.99
164,0.54
166,0.55
167,0.81
168,0.73
169,0.54
170,0.83
171,0.55
172,0.64
173,0.51
175,0.787
176,1.05
177,0.57
178,0.52
179,1.05
180,0.51
181,0.48
183,0.47
184,0.75
185,0.58
186,0.52
188,0.57
189,0.57
190,0.75
191,0.57
192,0.75
193,0.65
194,0.787
195,0.32
196,0.52
197,0.51
198,0.57
200,0.75
202,5.7
203,4.6
204,4.43
205,5.7
206,7.13
208,8.1
209,5.7
210,4.6
212,13.6
214,5.7
215,9.4
218,9.4
220,4.43
221,6.79
222,7.6
223,9.4
225,4.6
228,9.4
230,9.4
231,9.4
232,14.79
233,5.7
234,5.7
235,9.4
237,13.6
242,7.13
244,9.4
245,9.4
247,9.4
248,4.6
249,7.6
250,13.6
251,9.9
252,6.82
254,9.9
256,13.6
257,13.6
258,13.6
261,5.97
262,5.8
265,8.7
267,9.4
268,5.8
269,10.0
270,10.0
271,10.0
272,10.0
273,7.5
275,13.6
276,13.6
278,8.4
279,13.6
281,7.6
282,14.0
284,5.9
285,8.5
287,7.5
288,13.6
290,6.4
292,8.4
294,6.8
295,13.09
296,11.6
297,5.9
298,11.0
299,12.5
300,5.9
