Year,Present_Price,Kms_Driven,Owner,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol
2015,10.38,0.10110110110110108,0,0,1,0
2009,7.21,0.15400800800800798,0,0,0,1
2016,10.79,0.08508508508508507,0,0,1,0
2010,7.98,0.08196596596596596,0,0,0,1
2011,4.99,0.03903903903903904,0,0,0,1
2013,5.87,0.10938538538538538,0,0,0,1
2012,5.98,0.10197997997997997,0,0,1,0
2014,7.49,0.07707707707707706,0,0,1,0
2014,8.06,0.08908908908908908,0,0,1,0
2003,2.28,0.25325325325325326,0,0,0,1
2014,8.06,0.09065065065065064,0,0,1,0
2005,10.21,0.17917917917917917,0,0,0,1
2010,18.54,0.09909909909909909,0,0,0,1
2014,35.96,0.08108108108108107,0,0,1,0
2014,35.96,0.15515515515515513,0,0,1,0
2013,18.61,0.1111131131131131,0,0,0,1
2011,5.71,0.08508508508508507,0,0,0,1
2006,23.73,0.2832832832832833,3,0,0,1
2014,6.76,0.07907907907907907,0,0,0,1
2008,22.78,0.17717717717717715,0,0,0,1
2016,25.39,0.057057057057057055,0,0,1,0
2013,18.61,0.08908908908908908,0,0,0,1
2010,20.45,0.09914714714714713,0,0,1,0
2017,1.6,0.0014014014014014013,0,0,0,1
2017,1.47,0.0072072072072072065,0,0,0,1
2015,2.37,0.04244244244244244,0,0,0,1
2017,1.47,0.02102102102102102,0,0,0,1
2015,1.9,0.02702702702702703,0,0,0,1
2011,1.5,0.012812812812812812,0,0,0,1
2017,0.95,0.0016016016016016012,0,0,0,1
2015,0.82,0.035035035035035036,0,0,0,1
2015,0.74,0.009009009009009009,0,0,0,1
2014,0.99,0.04904904904904905,0,0,0,1
2016,0.55,0.06106106106106106,0,0,0,1
2017,0.51,0.007607607607607607,0,0,0,1
2017,0.54,0.016216216216216217,0,0,0,1
2014,0.826,0.04504504504504504,0,0,0,1
2012,0.99,0.028028028028028028,0,0,0,1
2016,0.55,0.001001001001001001,0,0,0,1
2014,0.52,0.037037037037037035,0,0,0,1
2012,0.57,0.04904904904904905,1,0,0,1
2015,0.32,0.06906906906906905,0,0,0,1
2008,0.52,0.9999999999999999,0,0,0,1
2007,0.58,0.1051051051051051,0,0,0,1
2006,0.75,0.18364964964964964,0,0,0,1
2015,5.7,0.05545545545545545,0,0,0,1
2011,4.6,0.10602602602602601,0,0,0,1
2015,4.43,0.055619619619619615,0,0,0,1
2015,5.7,0.04129129129129129,0,0,1,0
2015,14.79,0.08615615615615614,0,0,1,0
2017,5.7,0.039267267267267265,0,0,0,1
2014,9.4,0.08924524524524523,0,0,0,1
2013,6.79,0.06306306306306306,0,0,0,1
2012,6.79,0.10336736736736736,0,0,1,0
2013,9.4,0.08908908908908908,0,0,1,0
2017,9.4,0.02903103103103103,0,0,0,1
2015,5.7,0.00799199199199199,0,0,0,1
2016,4.43,0.02272072072072072,0,0,0,1
2013,9.4,0.11960160160160159,0,0,0,1
2014,7.13,0.06706706706706705,0,0,0,1
2016,7.6,0.013013013013013013,0,0,0,1
2013,4.6,0.05905905905905906,0,0,0,1
2016,13.6,0.07093893893893893,0,0,1,0
2015,6.82,0.06191591591591591,0,0,0,1
2012,5.35,0.10645645645645645,0,0,0,1
2015,13.6,0.07972772772772772,0,0,0,1
2014,7.0,0.07117917917917917,0,0,0,1
2016,13.6,0.0575035035035035,0,0,0,1
2015,5.8,0.07912512512512511,0,0,0,1
2014,7.0,0.06906906906906905,0,0,0,1
2016,9.4,0.0379059059059059,0,0,1,0
2009,10.0,0.13826226226226224,0,0,0,1
2015,13.6,0.048648648648648644,0,0,0,1
2016,8.4,0.007007007007007007,0,0,0,1
2015,13.6,0.06706706706706705,0,0,0,1
2016,8.4,0.023023023023023025,0,0,0,1
2010,9.9,0.07507507507507506,0,0,0,1
