,Present_Price
0,5.59
1,9.54
3,4.15
6,8.12
10,3.6
11,10.38
13,7.71
15,10.79
16,10.79
17,10.79
18,5.09
19,7.98
20,3.95
21,5.71
22,8.01
24,4.41
25,4.99
26,5.87
28,3.95
29,10.38
31,4.89
32,7.49
35,7.74
36,7.2
37,2.28
40,7.87
41,3.98
42,7.15
43,8.06
44,2.69
47,4.15
48,7.71
50,30.61
51,30.61
52,19.77
53,30.61
54,10.21
55,15.04
56,7.27
57,18.54
58,6.8
59,35.96
60,18.61
61,7.7
65,6.95
66,23.15
67,20.45
69,20.91
71,12.48
72,18.61
73,5.71
75,6.8
77,12.35
79,30.61
80,14.89
81,7.85
82,25.39
83,13.46
84,13.46
86,92.6
87,13.74
88,6.05
89,6.76
90,18.61
93,30.61
95,18.61
96,25.39
97,18.64
98,18.61
100,1.9
101,1.82
102,1.78
104,1.47
105,2.37
107,1.5
110,1.78
111,1.5
112,2.4
113,1.4
114,1.47
115,1.47
117,1.9
118,1.47
121,1.5
122,1.17
123,1.47
124,1.75
125,1.75
126,0.95
127,0.8
128,0.87
129,0.84
131,0.82
134,0.81
136,1.2
137,0.787
139,0.95
140,1.2
141,0.8
142,0.84
143,0.84
144,0.99
145,0.81
146,0.787
147,0.84
148,0.94
150,0.826
153,0.99
154,0.88
155,0.51
156,0.52
157,0.84
159,0.51
160,0.95
161,0.826
162,0.99
163,0.95
164,0.54
165,0.54
166,0.55
167,0.81
168,0.73
169,0.54
170,0.83
171,0.55
172,0.64
173,0.51
174,0.72
175,0.787
177,0.57
178,0.52
179,1.05
181,0.48
183,0.47
184,0.75
185,0.58
186,0.52
187,0.51
188,0.57
192,0.75
194,0.787
195,0.32
196,0.52
198,0.57
200,0.75
202,5.7
203,4.6
205,5.7
206,7.13
207,5.7
209,5.7
210,4.6
211,14.79
214,5.7
215,9.4
216,4.43
217,4.43
218,9.4
220,4.43
221,6.79
223,9.4
224,9.4
225,4.6
226,5.7
228,9.4
229,6.79
230,9.4
231,9.4
233,5.7
234,5.7
235,9.4
236,4.43
237,13.6
238,9.4
239,4.43
240,9.4
242,7.13
243,7.6
245,9.4
246,6.79
247,9.4
248,4.6
249,7.6
250,13.6
251,9.9
252,6.82
254,9.9
255,5.35
256,13.6
257,13.6
258,13.6
260,13.6
261,5.97
263,7.7
265,8.7
266,7.0
267,9.4
268,5.8
270,10.0
271,10.0
272,10.0
273,7.5
274,6.8
277,13.6
278,8.4
279,13.6
280,5.9
281,7.6
282,14.0
283,11.8
285,8.5
286,7.9
287,7.5
288,13.6
289,13.6
291,6.1
292,8.4
293,9.9
296,11.6
297,5.9
298,11.0
299,12.5
