,Present_Price
2,9.85
4,6.87
5,9.83
7,8.61
8,8.89
9,8.92
12,9.94
14,7.21
23,3.46
27,6.49
30,5.98
33,9.95
34,8.06
38,3.76
39,7.98
45,12.04
46,4.89
49,9.29
62,35.96
63,35.96
64,36.23
68,13.74
70,6.76
74,8.93
76,14.68
78,22.83
85,23.73
91,16.09
92,13.7
94,22.78
99,20.45
103,1.6
106,3.45
108,1.5
109,1.47
116,1.47
119,1.9
120,1.26
130,0.87
132,0.95
133,0.95
135,0.74
138,0.87
149,0.94
151,0.55
152,0.99
158,0.54
176,1.05
180,0.51
182,0.58
189,0.57
190,0.75
191,0.57
193,0.65
197,0.51
199,0.58
201,6.79
204,4.43
208,8.1
212,13.6
213,6.79
219,9.4
222,7.6
227,4.43
232,14.79
241,7.13
244,9.4
253,9.9
259,7.0
262,5.8
264,7.0
269,10.0
275,13.6
276,13.6
284,5.9
290,6.4
294,6.8
295,13.09
300,5.9
