Year,Present_Price,Kms_Driven,Owner
2014,5.59,27000,0
2014,6.87,42450,0
2015,9.94,15000,0
2016,10.79,43000,0
2016,10.79,43000,0
2015,5.09,35500,0
2011,8.01,50000,0
2011,4.99,20000,0
2013,5.87,55138,0
2017,6.49,16200,0
2010,3.95,44542,0
2014,9.95,45000,0
2015,7.2,48767,0
2008,7.15,58000,0
2017,19.77,15000,0
2014,35.96,41000,0
2015,7.7,40588,0
2017,36.23,6000,0
2013,18.61,56001,0
2014,8.93,83000,0
2015,6.8,36000,0
2004,12.35,135154,0
2016,14.89,23000,0
2015,7.85,40000,0
2015,13.46,38000,0
2013,6.05,47000,0
2010,20.45,50024,0
2016,1.9,3000,0
2013,1.5,15000,0
2017,1.47,11000,0
2016,1.4,35000,0
2015,1.47,17500,0
2016,1.17,6000,0
2009,1.75,40000,0
2017,0.95,1300,0
2015,0.82,18000,0
2017,0.95,3500,0
2016,0.95,500,0
2017,0.81,11800,0
2015,0.74,5000,0
2014,1.2,23500,0
2012,0.81,19000,0
2014,0.787,15000,0
2010,0.94,45000,0
2012,0.99,13000,0
2017,0.51,4300,0
2017,0.51,4000,0
2014,0.81,42000,0
2015,0.54,14000,0
2012,0.83,5500,0
2011,0.787,75000,0
2008,0.58,1900,0
2013,0.57,18000,0
2012,0.57,25000,1
2008,0.787,50000,0
2010,0.51,33000,0
2015,5.7,28200,0
2016,5.7,3493,1
2015,14.79,43535,0
2016,4.43,12500,0
2012,9.4,36000,0
2012,9.4,60000,0
2012,6.79,52132,0
2017,9.4,15001,0
2013,5.7,53000,0
2012,4.43,23709,0
2012,9.4,32322,0
2015,7.13,35866,1
2016,7.6,7000,0
2013,9.4,49000,0
2014,9.9,48000,0
2012,5.35,53675,0
2014,7.0,36054,0
2015,7.0,40026,0
2009,10.0,69562,0
2016,13.6,30753,0
2015,13.6,24800,0
2014,13.6,40126,0
2014,6.8,33019,0
2016,5.9,5464,0
