Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
1,5.1,3.5,1.4,0.2
8,5.0,3.4,1.5,0.2
14,4.3,3.0,1.1,0.1
15,5.8,4.0,1.2,0.2
20,5.1,3.8,1.5,0.3
21,5.4,3.4,1.7,0.2
22,5.1,3.7,1.5,0.4
30,4.7,3.2,1.6,0.2
33,5.2,4.1,1.5,0.1
35,4.9,3.1,1.5,0.1
43,4.4,3.2,1.3,0.2
45,5.1,3.8,1.9,0.4
46,4.8,3.0,1.4,0.3
53,6.9,3.1,4.9,1.5
67,5.6,3.0,4.5,1.5
69,6.2,2.2,4.5,1.5
72,6.1,2.8,4.0,1.3
77,6.8,2.8,4.8,1.4
79,6.0,2.9,4.5,1.5
82,5.5,2.4,3.7,1.0
85,5.4,3.0,4.5,1.5
88,6.3,2.3,4.4,1.3
89,5.6,3.0,4.1,1.3
103,7.1,3.0,5.9,2.1
106,7.6,3.0,6.6,2.1
107,4.9,2.5,4.5,1.7
110,7.2,3.6,6.1,2.5
112,6.4,2.7,5.3,1.9
113,6.8,3.0,5.5,2.1
119,7.7,2.6,6.9,2.3
121,6.9,3.2,5.7,2.3
124,6.3,2.7,4.9,1.8
128,6.1,3.0,4.9,1.8
130,7.2,3.0,5.8,1.6
132,7.9,3.8,6.4,2.0
133,6.4,2.8,5.6,2.2
142,6.9,3.1,5.1,2.3
145,6.7,3.3,5.7,2.5
149,6.2,3.4,5.4,2.3
