,Present_Price
1,9.54
6,8.12
8,8.89
10,3.6
11,10.38
13,7.71
14,7.21
16,10.79
17,10.79
18,5.09
19,7.98
22,8.01
24,4.41
25,4.99
27,6.49
32,7.49
33,9.95
34,8.06
35,7.74
37,2.28
38,3.76
39,7.98
40,7.87
42,7.15
43,8.06
44,2.69
45,12.04
48,7.71
49,9.29
51,30.61
52,19.77
53,30.61
54,10.21
55,15.04
58,6.8
59,35.96
60,18.61
63,35.96
64,36.23
65,6.95
67,20.45
68,13.74
70,6.76
71,12.48
72,18.61
73,5.71
74,8.93
75,6.8
76,14.68
77,12.35
79,30.61
80,14.89
81,7.85
82,25.39
84,13.46
85,23.73
86,92.6
87,13.74
89,6.76
90,18.61
91,16.09
92,13.7
93,30.61
94,22.78
95,18.61
97,18.64
98,18.61
99,20.45
101,1.82
102,1.78
103,1.6
104,1.47
105,2.37
106,3.45
109,1.47
110,1.78
113,1.4
114,1.47
115,1.47
116,1.47
117,1.9
118,1.47
119,1.9
120,1.26
121,1.5
123,1.47
124,1.75
125,1.75
126,0.95
127,0.8
128,0.87
129,0.84
130,0.87
131,0.82
132,0.95
133,0.95
134,0.81
136,1.2
137,0.787
138,0.87
139,0.95
140,1.2
141,0.8
142,0.84
144,0.99
145,0.81
146,0.787
147,0.84
148,0.94
149,0.94
150,0.826
151,0.55
152,0.99
153,0.99
154,0.88
155,0.51
157,0.84
159,0.51
160,0.95
161,0.826
162,0.99
163,0.95
164,0.54
166,0.55
169,0.54
174,0.72
175,0.787
176,1.05
177,0.57
178,0.52
179,1.05
180,0.51
181,0.48
183,0.47
184,0.75
185,0.58
186,0.52
188,0.57
189,0.57
190,0.75
191,0.57
192,0.75
195,0.32
196,0.52
197,0.51
198,0.57
200,0.75
201,6.79
203,4.6
204,4.43
205,5.7
206,7.13
207,5.7
208,8.1
210,4.6
211,14.79
212,13.6
214,5.7
216,4.43
221,6.79
223,9.4
224,9.4
225,4.6
226,5.7
227,4.43
228,9.4
229,6.79
231,9.4
232,14.79
233,5.7
234,5.7
235,9.4
236,4.43
237,13.6
238,9.4
239,4.43
240,9.4
242,7.13
243,7.6
244,9.4
245,9.4
246,6.79
247,9.4
248,4.6
249,7.6
252,6.82
253,9.9
254,9.9
255,5.35
256,13.6
257,13.6
259,7.0
261,5.97
262,5.8
263,7.7
264,7.0
265,8.7
266,7.0
268,5.8
269,10.0
271,10.0
272,10.0
273,7.5
274,6.8
275,13.6
276,13.6
277,13.6
280,5.9
282,14.0
283,11.8
284,5.9
285,8.5
286,7.9
287,7.5
289,13.6
290,6.4
291,6.1
292,8.4
293,9.9
295,13.09
296,11.6
297,5.9
300,5.9
