,Present_Price
1,9.54
3,4.15
4,6.87
11,10.38
14,7.21
21,5.71
28,3.95
30,5.98
36,7.2
41,3.98
43,8.06
45,12.04
63,35.96
65,6.95
76,14.68
77,12.35
81,7.85
86,92.6
87,13.74
95,18.61
96,25.39
104,1.47
111,1.5
127,0.8
128,0.87
129,0.84
134,0.81
136,1.2
138,0.87
141,0.8
145,0.81
148,0.94
151,0.55
159,0.51
163,0.95
164,0.54
170,0.83
176,1.05
178,0.52
179,1.05
180,0.51
196,0.52
201,6.79
204,4.43
206,7.13
207,5.7
210,4.6
211,14.79
214,5.7
215,9.4
216,4.43
217,4.43
226,5.7
232,14.79
233,5.7
241,7.13
242,7.13
243,7.6
244,9.4
245,9.4
252,6.82
253,9.9
256,13.6
257,13.6
262,5.8
274,6.8
279,13.6
281,7.6
285,8.5
289,13.6
296,11.6
298,11.0
