,Selling_Price
0,3.35
2,7.25
3,2.85
10,2.85
12,7.5
13,6.1
15,7.75
25,3.0
27,6.0
41,2.55
48,5.8
50,14.9
55,3.6
57,4.75
61,4.5
63,23.5
64,33.0
67,9.25
68,4.35
69,14.25
71,4.5
92,3.51
97,17.0
103,1.45
104,1.35
120,1.05
121,1.05
122,1.05
124,0.95
133,0.72
134,0.65
136,0.65
143,0.6
146,0.55
147,0.55
157,0.48
158,0.48
160,0.45
161,0.45
162,0.45
164,0.45
170,0.4
179,0.31
182,0.3
184,0.25
186,0.25
188,0.25
193,0.2
198,0.15
202,4.4
207,5.15
211,11.75
214,5.25
218,6.45
219,4.5
220,3.5
227,2.55
228,4.95
230,6.15
240,5.35
244,5.95
250,12.9
255,3.0
257,8.5
259,3.9
262,4.0
270,4.1
275,10.9
279,6.25
280,5.25
282,8.25
296,9.5
298,3.35
