,Selling_Price
1,4.75
4,4.6
5,9.25
6,6.75
7,6.5
8,8.75
9,7.45
11,6.85
14,2.25
16,7.25
17,7.75
18,3.25
19,2.65
20,2.85
21,4.9
22,4.4
23,2.5
24,2.9
26,4.15
28,1.95
29,7.45
30,3.1
31,2.35
32,4.95
33,6.0
34,5.5
35,2.95
36,4.65
37,0.35
38,3.0
39,2.25
40,5.85
42,1.95
43,5.5
44,1.25
45,7.5
46,2.65
47,1.05
49,7.75
51,23.0
52,18.0
53,16.0
54,2.75
56,4.5
58,4.1
59,19.99
60,6.95
62,18.75
65,4.75
66,19.75
70,3.95
72,7.45
73,2.65
74,4.9
75,3.95
76,5.5
77,1.5
78,5.25
79,14.5
80,14.73
81,4.75
82,23.0
83,12.5
84,3.49
85,2.5
86,35.0
87,5.9
88,3.45
89,4.75
90,3.8
91,11.25
93,23.0
94,4.0
95,5.85
96,20.75
98,7.05
99,9.65
100,1.75
101,1.7
102,1.65
105,1.35
106,1.35
107,1.25
108,1.2
109,1.2
110,1.2
111,1.15
112,1.15
113,1.15
114,1.15
115,1.11
116,1.1
117,1.1
118,1.1
119,1.05
123,1.0
125,0.9
126,0.9
127,0.75
128,0.8
129,0.78
130,0.75
131,0.75
132,0.75
135,0.65
137,0.65
138,0.6
139,0.6
140,0.6
141,0.6
142,0.6
144,0.6
145,0.6
148,0.52
149,0.51
150,0.5
151,0.5
152,0.5
153,0.5
154,0.5
155,0.48
156,0.48
159,0.45
163,0.45
165,0.45
166,0.45
167,0.42
168,0.42
169,0.4
171,0.4
172,0.4
173,0.4
174,0.38
175,0.38
176,0.35
177,0.35
178,0.35
180,0.3
181,0.3
183,0.27
185,0.25
187,0.25
189,0.2
190,0.2
191,0.2
192,0.2
194,0.2
195,0.18
196,0.17
197,0.16
199,0.12
200,0.1
201,3.25
203,2.95
204,2.75
205,5.25
206,5.75
208,7.9
209,4.85
210,3.1
212,11.25
213,2.9
215,4.5
216,2.9
217,3.15
221,4.5
222,6.0
223,8.25
224,5.11
225,2.7
226,5.25
229,3.1
231,9.25
232,11.45
233,3.9
234,5.5
235,9.1
236,3.1
237,11.25
238,4.8
239,2.0
241,4.75
242,4.4
243,6.25
245,5.2
246,3.75
247,5.95
248,4.0
249,5.25
251,5.0
252,5.4
253,7.2
254,5.25
256,10.25
258,8.4
260,9.15
261,5.5
263,6.6
264,4.0
265,6.5
266,3.65
267,8.35
268,4.8
269,6.7
271,3.0
272,7.5
273,2.25
274,5.3
276,8.65
277,9.7
278,6.0
281,2.1
283,8.99
284,3.5
285,7.4
286,5.65
287,5.75
288,8.4
289,10.11
290,4.5
291,5.4
292,6.4
293,3.25
294,3.75
295,8.55
297,4.0
299,11.5
300,5.3
