Year,Present_Price,Kms_Driven,Owner
2014,5.59,27000,0
2016,3.95,25000,0
2013,4.41,56879,0
2011,4.99,20000,0
2003,2.28,127000,0
2014,8.06,45780,0
2014,12.04,15000,0
2013,4.89,64532,0
2017,9.29,37000,0
2013,30.61,135000,0
2005,10.21,90000,0
2015,7.27,40534,0
2015,35.96,47000,0
2017,36.23,6000,0
2016,20.91,12000,0
2011,5.71,43000,0
2013,14.68,72000,0
2015,7.85,40000,0
2005,13.46,197176,0
2012,13.74,56000,0
2014,16.09,58242,0
2005,13.7,75000,0
2012,18.61,72000,0
2017,18.64,8700,0
2017,1.78,4000,0
2014,2.4,7000,0
2016,1.4,35000,0
2015,1.47,17000,0
2015,1.9,14000,0
2016,1.17,6000,0
2017,0.81,11800,0
2013,1.2,32000,0
2016,0.8,20000,0
2015,0.84,58000,0
2010,0.94,45000,0
2012,0.99,13000,0
2013,0.99,45000,0
2014,0.88,8000,0
2014,0.826,23000,0
2012,0.99,14500,0
2010,0.95,27000,0
2015,0.54,14000,0
2012,0.83,5500,0
2014,0.64,13700,0
2011,0.787,75000,0
2011,1.05,30000,0
2012,0.51,60000,0
2005,0.57,55000,0
2008,0.75,60000,0
2015,0.32,35000,0
2007,0.58,53000,0
2015,5.7,28200,0
2015,4.43,28282,0
2015,5.7,34797,0
2017,8.1,3435,0
2012,4.6,35775,0
2016,13.6,22671,0
2012,9.4,36100,0
2016,4.43,12500,0
2013,9.4,36198,0
2012,9.4,60000,0
2013,9.4,45000,0
2015,14.79,12900,0
2016,4.43,11849,0
2015,13.6,68000,0
2015,7.13,35866,1
2012,5.35,53675,0
2017,8.7,21200,0
2015,10.0,18828,0
2011,10.0,69341,0
2015,13.6,24800,0
2014,14.0,63000,0
2016,8.5,15059,0
2010,9.9,38000,0
2015,5.9,60000,0
2009,11.0,87934,0
2017,12.5,9000,0
