Year,Present_Price,Kms_Driven,Owner
2013,9.54,43000,0
2017,9.85,6900,0
2011,4.15,5200,0
2014,6.87,42450,0
2018,9.83,2071,0
2015,8.12,18796,0
2015,8.61,33429,0
2016,8.89,20273,0
2015,8.92,42367,0
2017,3.6,2135,0
2015,10.38,51000,0
2015,9.94,15000,0
2015,7.71,26000,0
2009,7.21,77427,0
2016,10.79,43000,0
2015,10.79,41678,0
2016,10.79,43000,0
2015,5.09,35500,0
2010,7.98,41442,0
2017,5.71,2400,0
2011,8.01,50000,0
2014,3.46,45280,0
2013,5.87,55138,0
2017,6.49,16200,0
2010,3.95,44542,0
2015,10.38,45000,0
2012,5.98,51439,0
2011,4.89,54200,0
2014,7.49,39000,0
2014,9.95,45000,0
2014,8.06,45000,0
2011,7.74,49998,0
2015,7.2,48767,0
2016,3.76,10079,0
2003,7.98,62000,0
2016,7.87,24524,0
2014,3.98,46706,0
2008,7.15,58000,0
2012,2.69,50000,0
2006,4.15,65000,0
2015,7.71,25870,0
2012,30.61,104707,0
2015,30.61,40000,0
2017,19.77,15000,0
2009,15.04,70000,0
2010,18.54,50000,0
2014,6.8,39485,1
2014,35.96,41000,0
2013,18.61,40001,0
2015,7.7,40588,0
2014,35.96,78000,0
2014,6.95,45000,0
2017,23.15,11000,0
2010,20.45,59000,0
2011,13.74,88000,0
2014,6.76,71000,0
2011,12.48,45000,0
2013,18.61,56001,0
2014,8.93,83000,0
2015,6.8,36000,0
2004,12.35,135154,0
2010,22.83,80000,0
2012,30.61,89000,0
2016,14.89,23000,0
2017,25.39,15000,0
2015,13.46,38000,0
2006,23.73,142000,3
2010,92.6,78000,0
2013,6.05,47000,0
2014,6.76,40000,0
2009,18.61,62000,0
2015,30.61,40000,0
2008,22.78,89000,0
2016,25.39,29000,0
2013,18.61,45000,0
2010,20.45,50024,0
2016,1.9,3000,0
2017,1.82,1400,0
2017,1.6,1200,0
2017,1.47,4100,0
2015,2.37,21700,0
2014,3.45,16500,1
2013,1.5,15000,0
2016,1.5,18000,0
2017,1.47,11000,0
2016,1.78,6000,0
2016,1.5,8700,0
2015,1.47,17500,0
2013,1.47,33000,0
2015,1.47,26000,0
2013,1.9,5400,0
2016,1.26,5700,0
2011,1.5,6900,0
2013,1.47,46500,0
2012,1.75,11500,0
2009,1.75,40000,0
2017,0.95,1300,0
2016,0.8,7000,0
2017,0.87,3000,0
2017,0.84,5000,0
2017,0.87,11000,0
2015,0.82,18000,0
2017,0.95,3500,0
2016,0.95,500,0
2015,0.74,5000,0
2014,1.2,23500,0
2013,0.787,16000,0
2016,0.87,15000,0
2015,0.95,16600,0
2015,0.84,29000,0
2016,0.84,25000,0
2014,0.99,25000,0
2012,0.81,19000,0
2014,0.787,15000,0
2016,0.94,24000,0
2011,0.826,6000,0
2016,0.55,31000,0
2017,0.51,4300,0
2017,0.52,15000,0
2015,0.84,23000,0
2017,0.54,8600,0
2017,0.51,4000,0
2011,0.95,24000,0
2016,0.54,14000,0
2016,0.54,500,0
2016,0.55,1000,0
2014,0.81,42000,0
2013,0.73,12000,0
2015,0.55,6700,0
2017,0.51,1300,0
2015,0.72,38600,0
2016,0.57,24000,0
2014,0.52,19000,0
2010,1.05,213000,0
2016,0.48,50000,0
2013,0.58,30000,0
2013,0.47,21000,0
2008,0.75,26000,1
2008,0.58,1900,0
2010,0.52,22000,0
2013,0.51,32000,0
2013,0.57,18000,0
2012,0.57,25000,1
2007,0.75,49000,1
2013,0.65,24000,1
2008,0.787,50000,0
2008,0.52,500000,0
2010,0.51,33000,0
2011,0.57,35000,1
2006,0.75,92233,0
2010,6.79,58000,1
2011,4.6,53460,0
2016,5.7,3493,1
2017,7.13,12479,0
2015,5.7,21125,0
2015,14.79,43535,0
2011,6.79,31604,0
2017,5.7,20114,0
2016,4.43,15000,0
2014,9.4,45078,0
2012,9.4,36000,0
2017,4.43,38488,0
2013,6.79,32000,0
2014,7.6,77632,0
2015,9.4,61381,0
2011,4.6,22517,0
2015,5.7,24678,0
2011,4.43,57000,0
2012,6.79,52132,0
2017,9.4,15001,0
2013,5.7,53000,0
2015,5.7,4492,0
2017,9.4,15141,0
2013,9.4,60241,0
2012,4.43,23709,0
2012,9.4,32322,0
2014,7.13,34000,0
2016,7.6,7000,0
2013,9.4,49000,0
2012,9.4,71000,0
2012,6.79,35000,0
2015,9.4,36000,0
2013,4.6,30000,0
2016,7.6,17000,0
2016,13.6,35934,0
2013,9.9,56701,0
2015,6.82,31427,0
2014,9.9,48000,0
2013,9.9,54242,0
2016,13.6,49562,0
2015,13.6,40324,0
2015,13.6,25000,0
2014,7.0,36054,0
2016,13.6,29223,0
2016,5.97,5600,0
2015,5.8,40023,0
2016,7.7,16002,0
2015,7.0,40026,0
2014,7.0,35000,0
2016,9.4,19434,0
2017,5.8,19000,0
2009,10.0,69562,0
2015,10.0,27600,0
2010,7.5,61203,0
2014,6.8,16500,0
2016,13.6,30753,0
2015,13.6,21780,0
2016,8.4,4000,0
2014,13.6,40126,0
2015,5.9,14465,0
2006,7.6,50456,0
2016,11.8,9010,0
2013,5.9,9800,0
2016,7.9,28569,0
2015,7.5,44000,0
2015,13.6,34000,0
2016,13.6,10980,0
2014,6.4,19000,0
2015,6.1,31427,0
2016,8.4,12000,0
2014,6.8,33019,0
2015,13.09,60076,0
2016,11.6,33988,0
2016,5.9,5464,0
