Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
3,4.7,3.2,1.3,0.2
4,4.6,3.1,1.5,0.2
10,4.9,3.1,1.5,0.1
16,5.7,4.4,1.5,0.4
20,5.1,3.8,1.5,0.3
21,5.4,3.4,1.7,0.2
24,5.1,3.3,1.7,0.5
31,4.8,3.1,1.6,0.2
40,5.1,3.4,1.5,0.2
57,6.3,3.3,4.7,1.6
60,5.2,2.7,3.9,1.4
64,6.1,2.9,4.7,1.4
67,5.6,3.0,4.5,1.5
72,6.1,2.8,4.0,1.3
74,6.1,2.8,4.7,1.2
77,6.8,2.8,4.8,1.4
78,6.7,3.0,5.0,1.7
86,6.0,3.4,4.5,1.6
88,6.3,2.3,4.4,1.3
96,5.7,3.0,4.2,1.2
97,5.7,2.9,4.2,1.3
115,5.8,2.8,5.1,2.4
118,7.7,3.8,6.7,2.2
122,5.6,2.8,4.9,2.0
126,7.2,3.2,6.0,1.8
130,7.2,3.0,5.8,1.6
135,6.1,2.6,5.6,1.4
137,6.3,3.4,5.6,2.4
139,6.0,3.0,4.8,1.8
140,6.9,3.1,5.4,2.1
146,6.7,3.0,5.2,2.3
