,Present_Price
3,4.15
7,8.61
9,8.92
11,10.38
13,7.71
17,10.79
29,10.38
35,7.74
42,7.15
43,8.06
46,4.89
48,7.71
50,30.61
61,7.7
64,36.23
65,6.95
66,23.15
68,13.74
69,20.91
72,18.61
79,30.61
80,14.89
81,7.85
85,23.73
86,92.6
88,6.05
97,18.64
98,18.61
100,1.9
102,1.78
107,1.5
111,1.5
114,1.47
120,1.26
122,1.17
123,1.47
130,0.87
131,0.82
132,0.95
133,0.95
141,0.8
142,0.84
143,0.84
147,0.84
149,0.94
154,0.88
155,0.51
156,0.52
164,0.54
170,0.83
172,0.64
175,0.787
180,0.51
185,0.58
190,0.75
194,0.787
197,0.51
202,5.7
208,8.1
213,6.79
214,5.7
215,9.4
217,4.43
219,9.4
224,9.4
228,9.4
235,9.4
240,9.4
245,9.4
247,9.4
248,4.6
250,13.6
251,9.9
260,13.6
265,8.7
267,9.4
268,5.8
275,13.6
277,13.6
278,8.4
282,14.0
283,11.8
289,13.6
296,11.6
300,5.9
