,Present_Price
4,6.87
9,8.92
11,10.38
19,7.98
20,3.95
31,4.89
36,7.2
41,3.98
43,8.06
44,2.69
46,4.89
56,7.27
75,6.8
79,30.61
83,13.46
85,23.73
89,6.76
90,18.61
92,13.7
94,22.78
96,25.39
98,18.61
104,1.47
110,1.78
113,1.4
114,1.47
116,1.47
120,1.26
139,0.95
141,0.8
143,0.84
144,0.99
148,0.94
149,0.94
152,0.99
153,0.99
154,0.88
157,0.84
158,0.54
161,0.826
163,0.95
165,0.54
173,0.51
179,1.05
183,0.47
187,0.51
198,0.57
200,0.75
209,5.7
210,4.6
212,13.6
213,6.79
215,9.4
219,9.4
221,6.79
225,4.6
228,9.4
229,6.79
230,9.4
233,5.7
244,9.4
248,4.6
254,9.9
255,5.35
258,13.6
261,5.97
273,7.5
280,5.9
287,7.5
292,8.4
294,6.8
297,5.9
298,11.0
