Year,Present_Price,Kms_Driven,Owner
2017,9.85,6900,0
2014,6.87,42450,0
2015,10.79,41678,0
2015,5.09,35500,0
2010,7.98,41442,0
2017,5.71,2400,0
2011,4.99,20000,0
2010,3.95,44542,0
2012,5.98,51439,0
2014,8.06,45000,0
2014,8.06,45780,0
2014,12.04,15000,0
2014,6.8,39485,1
2017,36.23,6000,0
2011,13.74,88000,0
2016,20.91,12000,0
2011,5.71,43000,0
2015,6.8,36000,0
2013,14.68,72000,0
2004,12.35,135154,0
2010,22.83,80000,0
2015,7.85,40000,0
2006,23.73,142000,3
2008,22.78,89000,0
2012,18.61,72000,0
2017,18.64,8700,0
2017,1.82,1400,0
2015,2.37,21700,0
2016,1.5,8700,0
2014,2.4,7000,0
2016,1.4,35000,0
2016,1.17,6000,0
2013,1.47,46500,0
2017,0.87,3000,0
2013,1.2,32000,0
2015,0.84,29000,0
2014,0.787,15000,0
2014,0.88,8000,0
2015,0.72,38600,0
2014,0.52,19000,0
2012,0.51,60000,0
2007,0.75,49000,1
2011,6.79,31604,0
2017,5.7,20114,0
2012,9.4,36000,0
2017,4.43,38488,0
2014,7.6,77632,0
2013,9.4,36198,0
2011,4.6,22517,0
2012,6.79,52132,0
2015,5.7,4492,0
2015,7.13,35866,1
2016,13.6,35934,0
2016,13.6,49562,0
2014,7.0,36054,0
2016,13.6,29223,0
2015,7.0,40026,0
2017,8.7,21200,0
2014,7.0,35000,0
2016,9.4,19434,0
2014,6.8,16500,0
2015,13.6,21780,0
2016,8.4,4000,0
2014,13.6,40126,0
2013,5.9,9800,0
2016,8.4,12000,0
2016,11.6,33988,0
2009,11.0,87934,0
