Year,Present_Price,Kms_Driven,Owner
2013,9.54,43000,0
2014,6.87,42450,0
2016,10.79,43000,0
2010,7.98,41442,0
2011,4.99,20000,0
2017,6.49,16200,0
2012,5.98,51439,0
2003,2.28,127000,0
2014,3.98,46706,0
2012,30.61,104707,0
2014,35.96,78000,0
2017,23.15,11000,0
2010,20.45,59000,0
2014,6.76,71000,0
2011,12.48,45000,0
2013,18.61,56001,0
2012,30.61,89000,0
2013,6.05,47000,0
2008,22.78,89000,0
2016,25.39,29000,0
2010,20.45,50024,0
2017,1.82,1400,0
2015,2.37,21700,0
2015,1.47,17500,0
2016,1.26,5700,0
2012,1.75,11500,0
2016,0.8,7000,0
2017,0.84,5000,0
2017,0.81,11800,0
2014,1.2,23500,0
2013,1.2,32000,0
2016,0.8,20000,0
2015,0.84,29000,0
2010,0.94,45000,0
2016,0.55,31000,0
2017,0.54,8600,0
2016,0.57,24000,0
2010,1.05,213000,0
2013,0.47,21000,0
2010,0.52,22000,0
2005,0.57,55000,0
2007,0.75,49000,1
2008,0.787,50000,0
2011,0.57,35000,1
2015,5.7,28200,0
2011,4.6,53460,0
2015,4.43,28282,0
2017,7.13,12479,0
2015,14.79,43535,0
2016,13.6,22671,0
2012,9.4,36000,0
2012,6.79,52132,0
2012,4.43,23709,0
2012,9.4,71000,0
2013,4.6,30000,0
2016,13.6,35934,0
2015,6.82,31427,0
2015,7.0,40026,0
2017,8.7,21200,0
2014,7.0,35000,0
2016,9.4,19434,0
2017,5.8,19000,0
2015,13.6,21780,0
2014,6.8,33019,0
2009,11.0,87934,0
