Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
2,4.9,3.0,1.4,0.2
8,5.0,3.4,1.5,0.2
11,5.4,3.7,1.5,0.2
16,5.7,4.4,1.5,0.4
19,5.7,3.8,1.7,0.3
21,5.4,3.4,1.7,0.2
24,5.1,3.3,1.7,0.5
25,4.8,3.4,1.9,0.2
26,5.0,3.0,1.6,0.2
29,5.2,3.4,1.4,0.2
30,4.7,3.2,1.6,0.2
36,5.0,3.2,1.2,0.2
38,4.9,3.1,1.5,0.1
41,5.0,3.5,1.3,0.3
46,4.8,3.0,1.4,0.3
49,5.3,3.7,1.5,0.2
51,7.0,3.2,4.7,1.4
53,6.9,3.1,4.9,1.5
56,5.7,2.8,4.5,1.3
60,5.2,2.7,3.9,1.4
62,5.9,3.0,4.2,1.5
63,6.0,2.2,4.0,1.0
66,6.7,3.1,4.4,1.4
68,5.8,2.7,4.1,1.0
73,6.3,2.5,4.9,1.5
76,6.6,3.0,4.4,1.4
82,5.5,2.4,3.7,1.0
93,5.8,2.6,4.0,1.2
94,5.0,2.3,3.3,1.0
96,5.7,3.0,4.2,1.2
100,5.7,2.8,4.1,1.3
104,6.3,2.9,5.6,1.8
112,6.4,2.7,5.3,1.9
121,6.9,3.2,5.7,2.3
122,5.6,2.8,4.9,2.0
123,7.7,2.8,6.7,2.0
124,6.3,2.7,4.9,1.8
127,6.2,2.8,4.8,1.8
130,7.2,3.0,5.8,1.6
131,7.4,2.8,6.1,1.9
133,6.4,2.8,5.6,2.2
134,6.3,2.8,5.1,1.5
136,7.7,3.0,6.1,2.3
138,6.4,3.1,5.5,1.8
140,6.9,3.1,5.4,2.1
143,5.8,2.7,5.1,1.9
147,6.3,2.5,5.0,1.9
148,6.5,3.0,5.2,2.0
149,6.2,3.4,5.4,2.3
