,Year,Selling_Price,Present_Price,Kms_Driven,Owner
8,2016,8.75,8.89,20273,0
12,2015,7.5,9.94,15000,0
16,2015,7.25,10.79,41678,0
18,2015,3.25,5.09,35500,0
20,2016,2.85,3.95,25000,0
28,2010,1.95,3.95,44542,0
30,2012,3.1,5.98,51439,0
34,2014,5.5,8.06,45000,0
41,2014,2.55,3.98,46706,0
45,2014,7.5,12.04,15000,0
50,2012,14.9,30.61,104707,0
51,2015,23.0,30.61,40000,0
54,2005,2.75,10.21,90000,0
56,2015,4.5,7.27,40534,0
58,2014,4.1,6.8,39485,1
64,2017,33.0,36.23,6000,0
65,2014,4.75,6.95,45000,0
69,2016,14.25,20.91,12000,0
74,2014,4.9,8.93,83000,0
75,2015,3.95,6.8,36000,0
85,2006,2.5,23.73,142000,3
86,2010,35.0,92.6,78000,0
87,2012,5.9,13.74,56000,0
93,2015,23.0,30.61,40000,0
94,2008,4.0,22.78,89000,0
100,2016,1.75,1.9,3000,0
112,2014,1.15,2.4,7000,0
117,2015,1.1,1.9,14000,0
119,2013,1.05,1.9,5400,0
122,2016,1.05,1.17,6000,0
127,2016,0.75,0.8,7000,0
128,2017,0.8,0.87,3000,0
129,2017,0.78,0.84,5000,0
131,2015,0.75,0.82,18000,0
133,2016,0.72,0.95,500,0
136,2014,0.65,1.2,23500,0
142,2015,0.6,0.84,29000,0
143,2016,0.6,0.84,25000,0
144,2014,0.6,0.99,25000,0
146,2014,0.55,0.787,15000,0
147,2015,0.55,0.84,58000,0
152,2012,0.5,0.99,13000,0
154,2014,0.5,0.88,8000,0
155,2017,0.48,0.51,4300,0
157,2015,0.48,0.84,23000,0
161,2014,0.45,0.826,23000,0
164,2016,0.45,0.54,14000,0
174,2015,0.38,0.72,38600,0
178,2014,0.35,0.52,19000,0
184,2008,0.25,0.75,26000,1
200,2006,0.1,0.75,92233,0
201,2010,3.25,6.79,58000,1
203,2011,2.95,4.6,53460,0
207,2015,5.15,5.7,34797,0
212,2016,11.25,13.6,22671,0
213,2011,2.9,6.79,31604,0
217,2016,3.15,4.43,15000,0
220,2017,3.5,4.43,38488,0
222,2014,6.0,7.6,77632,0
223,2015,8.25,9.4,61381,0
225,2011,2.7,4.6,22517,0
233,2013,3.9,5.7,53000,0
238,2013,4.8,9.4,60241,0
241,2015,4.75,7.13,35866,1
242,2014,4.4,7.13,34000,0
245,2012,5.2,9.4,71000,0
247,2015,5.95,9.4,36000,0
256,2016,10.25,13.6,49562,0
258,2015,8.4,13.6,25000,0
263,2016,6.6,7.7,16002,0
265,2017,6.5,8.7,21200,0
267,2016,8.35,9.4,19434,0
275,2016,10.9,13.6,30753,0
282,2014,8.25,14.0,63000,0
284,2013,3.5,5.9,9800,0
285,2016,7.4,8.5,15059,0
289,2016,10.11,13.6,10980,0
297,2015,4.0,5.9,60000,0
