,Present_Price
0,5.59
5,9.83
13,7.71
17,10.79
22,8.01
30,5.98
38,3.76
42,7.15
44,2.69
46,4.89
47,4.15
49,9.29
52,19.77
56,7.27
59,35.96
64,36.23
73,5.71
74,8.93
76,14.68
77,12.35
78,22.83
81,7.85
84,13.46
86,92.6
90,18.61
91,16.09
93,30.61
94,22.78
101,1.82
102,1.78
106,3.45
107,1.5
123,1.47
128,0.87
130,0.87
140,1.2
142,0.84
144,0.99
145,0.81
152,0.99
153,0.99
156,0.52
166,0.55
167,0.81
168,0.73
175,0.787
186,0.52
190,0.75
198,0.57
205,5.7
207,5.7
208,8.1
212,13.6
222,7.6
224,9.4
226,5.7
228,9.4
231,9.4
232,14.79
233,5.7
235,9.4
238,9.4
240,9.4
245,9.4
247,9.4
251,9.9
257,13.6
260,13.6
263,7.7
269,10.0
270,10.0
275,13.6
285,8.5
289,13.6
290,6.4
297,5.9
