Year,Present_Price,Kms_Driven,Owner
2016,8.89,20273,0
2015,9.94,15000,0
2015,5.09,35500,0
2013,4.41,56879,0
2010,3.95,44542,0
2015,7.2,48767,0
2014,8.06,45780,0
2014,12.04,15000,0
2015,7.27,40534,0
2014,35.96,78000,0
2014,6.95,45000,0
2010,20.45,59000,0
2011,12.48,45000,0
2014,8.93,83000,0
2010,22.83,80000,0
2005,13.46,197176,0
2010,92.6,78000,0
2014,6.76,40000,0
2016,1.78,6000,0
2014,2.4,7000,0
2016,1.26,5700,0
2011,1.5,6900,0
2013,1.47,46500,0
2017,0.87,3000,0
2017,0.87,11000,0
2016,0.84,25000,0
2015,0.84,58000,0
2016,0.94,24000,0
2017,0.51,4300,0
2017,0.52,15000,0
2016,0.54,14000,0
2015,0.54,14000,0
2015,0.72,38600,0
2010,0.52,22000,0
2013,0.57,18000,0
2008,0.787,50000,0
2010,0.51,33000,0
2015,5.7,34797,0
2016,13.6,22671,0
2016,4.43,12500,0
2013,6.79,32000,0
2015,5.7,24678,0
2012,6.79,52132,0
2017,9.4,15141,0
2015,13.6,68000,0
2013,9.4,60241,0
2015,7.13,35866,1
2016,7.6,7000,0
2012,9.4,71000,0
2012,6.79,35000,0
2016,13.6,35934,0
2013,9.9,56701,0
2015,6.82,31427,0
2016,13.6,49562,0
2016,5.97,5600,0
2016,7.7,16002,0
2015,7.0,40026,0
2017,8.7,21200,0
2009,10.0,69562,0
2014,6.8,16500,0
2015,13.6,21780,0
2016,7.9,28569,0
2015,7.5,44000,0
2015,6.1,31427,0
