,Present_Price
0,5.59
1,9.54
2,9.85
7,8.61
8,8.89
9,8.92
10,3.6
11,10.38
12,9.94
13,7.71
14,7.21
15,10.79
16,10.79
17,10.79
19,7.98
20,3.95
21,5.71
23,3.46
24,4.41
25,4.99
26,5.87
27,6.49
28,3.95
31,4.89
32,7.49
36,7.2
37,2.28
38,3.76
39,7.98
40,7.87
41,3.98
42,7.15
43,8.06
44,2.69
45,12.04
46,4.89
47,4.15
48,7.71
49,9.29
50,30.61
51,30.61
52,19.77
54,10.21
56,7.27
57,18.54
58,6.8
59,35.96
60,18.61
61,7.7
62,35.96
64,36.23
65,6.95
66,23.15
67,20.45
68,13.74
70,6.76
72,18.61
73,5.71
74,8.93
78,22.83
79,30.61
82,25.39
83,13.46
85,23.73
88,6.05
89,6.76
91,16.09
94,22.78
96,25.39
97,18.64
98,18.61
99,20.45
100,1.9
101,1.82
105,2.37
106,3.45
108,1.5
109,1.47
110,1.78
111,1.5
112,2.4
113,1.4
114,1.47
116,1.47
117,1.9
118,1.47
119,1.9
120,1.26
121,1.5
122,1.17
123,1.47
124,1.75
125,1.75
126,0.95
128,0.87
129,0.84
130,0.87
131,0.82
133,0.95
134,0.81
135,0.74
136,1.2
137,0.787
140,1.2
141,0.8
142,0.84
144,0.99
145,0.81
146,0.787
147,0.84
148,0.94
149,0.94
151,0.55
152,0.99
153,0.99
155,0.51
156,0.52
157,0.84
158,0.54
159,0.51
160,0.95
161,0.826
162,0.99
163,0.95
165,0.54
166,0.55
167,0.81
168,0.73
169,0.54
170,0.83
172,0.64
173,0.51
174,0.72
175,0.787
176,1.05
179,1.05
180,0.51
181,0.48
182,0.58
183,0.47
184,0.75
185,0.58
186,0.52
187,0.51
188,0.57
189,0.57
191,0.57
192,0.75
194,0.787
196,0.52
197,0.51
198,0.57
200,0.75
202,5.7
203,4.6
204,4.43
205,5.7
206,7.13
207,5.7
209,5.7
210,4.6
213,6.79
215,9.4
216,4.43
217,4.43
218,9.4
219,9.4
220,4.43
222,7.6
223,9.4
224,9.4
226,5.7
227,4.43
228,9.4
229,6.79
230,9.4
231,9.4
233,5.7
236,4.43
237,13.6
239,4.43
241,7.13
242,7.13
243,7.6
244,9.4
245,9.4
246,6.79
247,9.4
250,13.6
252,6.82
253,9.9
254,9.9
255,5.35
260,13.6
262,5.8
264,7.0
265,8.7
266,7.0
267,9.4
268,5.8
269,10.0
270,10.0
272,10.0
273,7.5
274,6.8
275,13.6
276,13.6
279,13.6
280,5.9
281,7.6
282,14.0
283,11.8
285,8.5
286,7.9
287,7.5
289,13.6
290,6.4
292,8.4
294,6.8
295,13.09
296,11.6
298,11.0
299,12.5
300,5.9
