,Present_Price
7,8.61
11,10.38
15,10.79
24,4.41
28,3.95
30,5.98
31,4.89
34,8.06
43,8.06
44,2.69
46,4.89
48,7.71
49,9.29
52,19.77
53,30.61
54,10.21
58,6.8
66,23.15
67,20.45
80,14.89
84,13.46
92,13.7
94,22.78
96,25.39
103,1.6
111,1.5
115,1.47
118,1.47
126,0.95
133,0.95
134,0.81
136,1.2
141,0.8
146,0.787
150,0.826
166,0.55
168,0.73
170,0.83
173,0.51
176,1.05
180,0.51
183,0.47
184,0.75
185,0.58
191,0.57
193,0.65
200,0.75
206,7.13
207,5.7
208,8.1
220,4.43
238,9.4
239,4.43
243,7.6
245,9.4
256,13.6
261,5.97
264,7.0
265,8.7
271,10.0
274,6.8
277,13.6
280,5.9
282,14.0
283,11.8
285,8.5
