,Year,Selling_Price,Present_Price,Kms_Driven,Owner
0,2014,3.35,5.59,27000,0
1,2013,4.75,9.54,43000,0
3,2011,2.85,4.15,5200,0
4,2014,4.6,6.87,42450,0
5,2018,9.25,9.83,2071,0
6,2015,6.75,8.12,18796,0
7,2015,6.5,8.61,33429,0
8,2016,8.75,8.89,20273,0
9,2015,7.45,8.92,42367,0
10,2017,2.85,3.6,2135,0
11,2015,6.85,10.38,51000,0
12,2015,7.5,9.94,15000,0
13,2015,6.1,7.71,26000,0
14,2009,2.25,7.21,77427,0
15,2016,7.75,10.79,43000,0
16,2015,7.25,10.79,41678,0
17,2016,7.75,10.79,43000,0
19,2010,2.65,7.98,41442,0
20,2016,2.85,3.95,25000,0
22,2011,4.4,8.01,50000,0
24,2013,2.9,4.41,56879,0
26,2013,4.15,5.87,55138,0
27,2017,6.0,6.49,16200,0
28,2010,1.95,3.95,44542,0
29,2015,7.45,10.38,45000,0
30,2012,3.1,5.98,51439,0
31,2011,2.35,4.89,54200,0
32,2014,4.95,7.49,39000,0
33,2014,6.0,9.95,45000,0
36,2015,4.65,7.2,48767,0
37,2003,0.35,2.28,127000,0
38,2016,3.0,3.76,10079,0
39,2003,2.25,7.98,62000,0
40,2016,5.85,7.87,24524,0
41,2014,2.55,3.98,46706,0
42,2008,1.95,7.15,58000,0
43,2014,5.5,8.06,45780,0
44,2012,1.25,2.69,50000,0
45,2014,7.5,12.04,15000,0
47,2006,1.05,4.15,65000,0
48,2015,5.8,7.71,25870,0
49,2017,7.75,9.29,37000,0
51,2015,23.0,30.61,40000,0
52,2017,18.0,19.77,15000,0
53,2013,16.0,30.61,135000,0
54,2005,2.75,10.21,90000,0
55,2009,3.6,15.04,70000,0
57,2010,4.75,18.54,50000,0
58,2014,4.1,6.8,39485,1
59,2014,19.99,35.96,41000,0
61,2015,4.5,7.7,40588,0
62,2014,18.75,35.96,78000,0
64,2017,33.0,36.23,6000,0
66,2017,19.75,23.15,11000,0
67,2010,9.25,20.45,59000,0
68,2011,4.35,13.74,88000,0
71,2011,4.5,12.48,45000,0
72,2013,7.45,18.61,56001,0
73,2011,2.65,5.71,43000,0
75,2015,3.95,6.8,36000,0
76,2013,5.5,14.68,72000,0
79,2012,14.5,30.61,89000,0
80,2016,14.73,14.89,23000,0
82,2017,23.0,25.39,15000,0
83,2015,12.5,13.46,38000,0
84,2005,3.49,13.46,197176,0
85,2006,2.5,23.73,142000,3
88,2013,3.45,6.05,47000,0
89,2014,4.75,6.76,40000,0
90,2009,3.8,18.61,62000,0
91,2014,11.25,16.09,58242,0
92,2005,3.51,13.7,75000,0
93,2015,23.0,30.61,40000,0
94,2008,4.0,22.78,89000,0
95,2012,5.85,18.61,72000,0
96,2016,20.75,25.39,29000,0
97,2017,17.0,18.64,8700,0
99,2010,9.65,20.45,50024,0
100,2016,1.75,1.9,3000,0
103,2017,1.45,1.6,1200,0
105,2015,1.35,2.37,21700,0
106,2014,1.35,3.45,16500,1
108,2016,1.2,1.5,18000,0
110,2016,1.2,1.78,6000,0
113,2016,1.15,1.4,35000,0
114,2015,1.15,1.47,17000,0
116,2013,1.1,1.47,33000,0
117,2015,1.1,1.9,14000,0
118,2015,1.1,1.47,26000,0
119,2013,1.05,1.9,5400,0
121,2011,1.05,1.5,6900,0
122,2016,1.05,1.17,6000,0
123,2013,1.0,1.47,46500,0
124,2012,0.95,1.75,11500,0
127,2016,0.75,0.8,7000,0
128,2017,0.8,0.87,3000,0
131,2015,0.75,0.82,18000,0
132,2017,0.75,0.95,3500,0
133,2016,0.72,0.95,500,0
134,2017,0.65,0.81,11800,0
136,2014,0.65,1.2,23500,0
138,2016,0.6,0.87,15000,0
140,2013,0.6,1.2,32000,0
143,2016,0.6,0.84,25000,0
145,2012,0.6,0.81,19000,0
146,2014,0.55,0.787,15000,0
148,2010,0.52,0.94,45000,0
150,2011,0.5,0.826,6000,0
152,2012,0.5,0.99,13000,0
154,2014,0.5,0.88,8000,0
155,2017,0.48,0.51,4300,0
156,2017,0.48,0.52,15000,0
161,2014,0.45,0.826,23000,0
163,2010,0.45,0.95,27000,0
164,2016,0.45,0.54,14000,0
165,2016,0.45,0.54,500,0
166,2016,0.45,0.55,1000,0
168,2013,0.42,0.73,12000,0
169,2015,0.4,0.54,14000,0
172,2014,0.4,0.64,13700,0
175,2011,0.38,0.787,75000,0
176,2011,0.35,1.05,30000,0
177,2016,0.35,0.57,24000,0
179,2010,0.31,1.05,213000,0
180,2012,0.3,0.51,60000,0
181,2016,0.3,0.48,50000,0
182,2013,0.3,0.58,30000,0
183,2013,0.27,0.47,21000,0
184,2008,0.25,0.75,26000,1
186,2010,0.25,0.52,22000,0
188,2013,0.25,0.57,18000,0
190,2008,0.2,0.75,60000,0
191,2012,0.2,0.57,25000,1
192,2007,0.2,0.75,49000,1
193,2013,0.2,0.65,24000,1
195,2015,0.18,0.32,35000,0
197,2010,0.16,0.51,33000,0
198,2011,0.15,0.57,35000,1
200,2006,0.1,0.75,92233,0
201,2010,3.25,6.79,58000,1
202,2015,4.4,5.7,28200,0
203,2011,2.95,4.6,53460,0
204,2015,2.75,4.43,28282,0
205,2016,5.25,5.7,3493,1
207,2015,5.15,5.7,34797,0
208,2017,7.9,8.1,3435,0
209,2015,4.85,5.7,21125,0
210,2012,3.1,4.6,35775,0
211,2015,11.75,14.79,43535,0
212,2016,11.25,13.6,22671,0
213,2011,2.9,6.79,31604,0
214,2017,5.25,5.7,20114,0
215,2012,4.5,9.4,36100,0
217,2016,3.15,4.43,15000,0
220,2017,3.5,4.43,38488,0
223,2015,8.25,9.4,61381,0
224,2013,5.11,9.4,36198,0
227,2011,2.55,4.43,57000,0
229,2012,3.1,6.79,52132,0
232,2015,11.45,14.79,12900,0
234,2015,5.5,5.7,4492,0
235,2017,9.1,9.4,15141,0
236,2016,3.1,4.43,11849,0
237,2015,11.25,13.6,68000,0
238,2013,4.8,9.4,60241,0
239,2012,2.0,4.43,23709,0
240,2012,5.35,9.4,32322,0
241,2015,4.75,7.13,35866,1
242,2014,4.4,7.13,34000,0
243,2016,6.25,7.6,7000,0
244,2013,5.95,9.4,49000,0
245,2012,5.2,9.4,71000,0
246,2012,3.75,6.79,35000,0
247,2015,5.95,9.4,36000,0
248,2013,4.0,4.6,30000,0
249,2016,5.25,7.6,17000,0
252,2015,5.4,6.82,31427,0
256,2016,10.25,13.6,49562,0
257,2015,8.5,13.6,40324,0
258,2015,8.4,13.6,25000,0
259,2014,3.9,7.0,36054,0
261,2016,5.5,5.97,5600,0
262,2015,4.0,5.8,40023,0
263,2016,6.6,7.7,16002,0
267,2016,8.35,9.4,19434,0
268,2017,4.8,5.8,19000,0
269,2015,6.7,10.0,18828,0
270,2011,4.1,10.0,69341,0
271,2009,3.0,10.0,69562,0
272,2015,7.5,10.0,27600,0
274,2014,5.3,6.8,16500,0
276,2015,8.65,13.6,24800,0
277,2015,9.7,13.6,21780,0
279,2014,6.25,13.6,40126,0
280,2015,5.25,5.9,14465,0
281,2006,2.1,7.6,50456,0
282,2014,8.25,14.0,63000,0
283,2016,8.99,11.8,9010,0
284,2013,3.5,5.9,9800,0
286,2016,5.65,7.9,28569,0
287,2015,5.75,7.5,44000,0
288,2015,8.4,13.6,34000,0
290,2014,4.5,6.4,19000,0
291,2015,5.4,6.1,31427,0
292,2016,6.4,8.4,12000,0
294,2014,3.75,6.8,33019,0
295,2015,8.55,13.09,60076,0
296,2016,9.5,11.6,33988,0
298,2009,3.35,11.0,87934,0
299,2017,11.5,12.5,9000,0
300,2016,5.3,5.9,5464,0
