,Present_Price
2,9.85
18,5.09
21,5.71
23,3.46
25,4.99
34,8.06
35,7.74
46,4.89
50,30.61
56,7.27
60,18.61
63,35.96
65,6.95
69,20.91
70,6.76
74,8.93
77,12.35
78,22.83
81,7.85
86,92.6
87,13.74
98,18.61
101,1.82
102,1.78
104,1.47
107,1.5
109,1.47
111,1.5
112,2.4
115,1.47
120,1.26
125,1.75
126,0.95
129,0.84
130,0.87
135,0.74
137,0.787
139,0.95
141,0.8
142,0.84
144,0.99
147,0.84
149,0.94
151,0.55
153,0.99
157,0.84
158,0.54
159,0.51
160,0.95
162,0.99
167,0.81
170,0.83
171,0.55
173,0.51
174,0.72
178,0.52
185,0.58
187,0.51
189,0.57
194,0.787
196,0.52
199,0.58
206,7.13
216,4.43
218,9.4
219,9.4
221,6.79
222,7.6
225,4.6
226,5.7
228,9.4
230,9.4
231,9.4
233,5.7
250,13.6
251,9.9
253,9.9
254,9.9
255,5.35
260,13.6
264,7.0
265,8.7
266,7.0
273,7.5
275,13.6
278,8.4
285,8.5
289,13.6
293,9.9
297,5.9
