Year,Present_Price,Kms_Driven,Owner,Seller_Type_Dealer,Seller_Type_Individual
2011,4.15,0.009409409409409408,0,1,0
2014,6.87,0.08398398398398398,0,1,0
2018,9.83,0.0031451451451451453,0,1,0
2015,8.12,0.036628628628628625,0,1,0
2015,8.61,0.06592392392392392,0,1,0
2015,10.38,0.10110110110110108,0,1,0
2013,5.87,0.10938538538538538,0,1,0
2017,6.49,0.03143143143143143,0,0,1
2015,10.38,0.08908908908908908,0,1,0
2011,4.89,0.1075075075075075,0,1,0
2012,2.69,0.09909909909909909,0,1,0
2006,4.15,0.1291291291291291,0,1,0
2015,7.71,0.05079079079079079,0,1,0
2017,9.29,0.07307307307307306,0,1,0
2012,30.61,0.2086226226226226,0,1,0
2013,30.61,0.26926926926926925,0,0,1
2015,7.7,0.08025625625625625,0,1,0
2015,35.96,0.09309309309309308,0,1,0
2017,23.15,0.02102102102102102,0,1,0
2014,6.76,0.14114114114114112,0,1,0
2011,12.48,0.08908908908908908,0,1,0
2013,14.68,0.14314314314314314,0,1,0
2016,25.39,0.057057057057057055,0,1,0
2017,18.64,0.01641641641641642,0,1,0
2010,20.45,0.09914714714714713,0,1,0
2017,1.6,0.0014014014014014013,0,0,1
2016,1.5,0.035035035035035036,0,0,1
2013,1.47,0.06506506506506506,0,0,1
2015,1.9,0.02702702702702703,0,0,1
2016,1.17,0.011011011011011011,0,0,1
2012,1.75,0.02202202202202202,0,0,1
2016,0.8,0.013013013013013013,0,0,1
2017,0.87,0.02102102102102102,0,0,1
2016,0.95,0.0,0,0,1
2013,0.787,0.031031031031031032,0,0,1
2015,0.95,0.03223223223223223,0,0,1
2014,0.99,0.04904904904904905,0,0,1
2014,0.787,0.029029029029029027,0,0,1
2010,0.94,0.08908908908908908,0,0,1
2011,0.826,0.011011011011011011,0,0,1
2013,0.99,0.08908908908908908,0,0,1
2017,0.52,0.029029029029029027,0,0,1
2017,0.54,0.016216216216216217,0,0,1
2016,0.55,0.001001001001001001,0,0,1
2011,0.787,0.14914914914914915,0,0,1
2014,0.52,0.037037037037037035,0,0,1
2012,0.51,0.11911911911911911,0,0,1
2013,0.51,0.06306306306306306,0,0,1
2012,0.57,0.04904904904904905,1,0,1
2010,0.51,0.06506506506506506,0,0,1
2006,0.75,0.18364964964964964,0,0,1
2010,6.79,0.1151151151151151,1,1,0
2017,7.13,0.02398198198198198,0,1,0
2017,4.43,0.07605205205205204,0,1,0
2014,7.6,0.1544184184184184,0,1,0
2015,9.4,0.12188388388388387,0,1,0
2015,5.7,0.048404404404404404,0,1,0
2013,9.4,0.08908908908908908,0,1,0
2013,5.7,0.1051051051051051,0,1,0
2016,4.43,0.02272072072072072,0,1,0
2012,4.43,0.046464464464464464,0,1,0
2013,9.4,0.09709709709709709,0,1,0
2013,9.9,0.1125145145145145,0,1,0
2015,13.6,0.07972772772772772,0,1,0
2015,10.0,0.036692692692692694,0,1,0
2014,6.8,0.03203203203203203,0,1,0
2016,13.6,0.06056656656656657,0,1,0
2015,13.6,0.048648648648648644,0,1,0
2015,13.6,0.0426026026026026,0,1,0
2016,8.4,0.007007007007007007,0,1,0
2015,5.9,0.027957957957957955,0,1,0
2014,14.0,0.1251251251251251,0,1,0
2009,11.0,0.17504304304304302,0,1,0
