,Present_Price
4,6.87
6,8.12
7,8.61
8,8.89
10,3.6
15,10.79
17,10.79
18,5.09
21,5.71
23,3.46
33,9.95
35,7.74
38,3.76
41,3.98
43,8.06
45,12.04
51,30.61
52,19.77
56,7.27
59,35.96
64,36.23
67,20.45
72,18.61
74,8.93
75,6.8
76,14.68
80,14.89
81,7.85
92,13.7
102,1.78
103,1.6
104,1.47
106,3.45
112,2.4
113,1.4
121,1.5
123,1.47
125,1.75
130,0.87
134,0.81
139,0.95
141,0.8
143,0.84
146,0.787
151,0.55
152,0.99
159,0.51
162,0.99
164,0.54
165,0.54
166,0.55
168,0.73
171,0.55
178,0.52
181,0.48
182,0.58
183,0.47
187,0.51
189,0.57
190,0.75
200,0.75
206,7.13
216,4.43
220,4.43
224,9.4
226,5.7
227,4.43
228,9.4
229,6.79
231,9.4
236,4.43
245,9.4
246,6.79
248,4.6
254,9.9
255,5.35
256,13.6
258,13.6
267,9.4
271,10.0
276,13.6
278,8.4
281,7.6
285,8.5
290,6.4
291,6.1
293,9.9
299,12.5
