,Present_Price
3,4.15
7,8.61
8,8.89
15,10.79
16,10.79
25,4.99
33,9.95
44,2.69
45,12.04
46,4.89
47,4.15
57,18.54
61,7.7
69,20.91
72,18.61
74,8.93
75,6.8
76,14.68
87,13.74
91,16.09
92,13.7
93,30.61
96,25.39
102,1.78
104,1.47
108,1.5
110,1.78
111,1.5
114,1.47
117,1.9
120,1.26
122,1.17
126,0.95
128,0.87
133,0.95
134,0.81
136,1.2
137,0.787
139,0.95
145,0.81
146,0.787
154,0.88
155,0.51
157,0.84
159,0.51
164,0.54
167,0.81
168,0.73
174,0.72
180,0.51
181,0.48
189,0.57
192,0.75
193,0.65
200,0.75
207,5.7
211,14.79
220,4.43
228,9.4
231,9.4
232,14.79
245,9.4
249,7.6
250,13.6
258,13.6
261,5.97
262,5.8
264,7.0
270,10.0
275,13.6
278,8.4
282,14.0
283,11.8
286,7.9
287,7.5
293,9.9
299,12.5
