,Present_Price
3,4.15
6,8.12
10,3.6
11,10.38
21,5.71
31,4.89
34,8.06
39,7.98
40,7.87
42,7.15
48,7.71
49,9.29
54,10.21
57,18.54
60,18.61
64,36.23
65,6.95
66,23.15
67,20.45
71,12.48
72,18.61
80,14.89
86,92.6
87,13.74
92,13.7
97,18.64
99,20.45
100,1.9
118,1.47
122,1.17
130,0.87
131,0.82
134,0.81
147,0.84
154,0.88
157,0.84
158,0.54
167,0.81
170,0.83
173,0.51
174,0.72
179,1.05
195,0.32
197,0.51
205,5.7
208,8.1
218,9.4
220,4.43
221,6.79
222,7.6
229,6.79
234,5.7
237,13.6
239,4.43
240,9.4
241,7.13
247,9.4
259,7.0
260,13.6
280,5.9
281,7.6
285,8.5
288,13.6
291,6.1
293,9.9
295,13.09
298,11.0
300,5.9
