,Present_Price
1,9.54
4,6.87
7,8.61
14,7.21
17,10.79
20,3.95
28,3.95
35,7.74
38,3.76
43,8.06
45,12.04
46,4.89
48,7.71
50,30.61
54,10.21
68,13.74
78,22.83
79,30.61
81,7.85
83,13.46
87,13.74
88,6.05
89,6.76
90,18.61
93,30.61
104,1.47
105,2.37
108,1.5
117,1.9
119,1.9
130,0.87
137,0.787
140,1.2
145,0.81
149,0.94
152,0.99
154,0.88
157,0.84
160,0.95
163,0.95
165,0.54
166,0.55
170,0.83
171,0.55
175,0.787
176,1.05
179,1.05
186,0.52
188,0.57
193,0.65
197,0.51
203,4.6
210,4.6
216,4.43
217,4.43
219,9.4
220,4.43
221,6.79
226,5.7
231,9.4
237,13.6
245,9.4
248,4.6
249,7.6
262,5.8
267,9.4
269,10.0
283,11.8
287,7.5
289,13.6
291,6.1
292,8.4
297,5.9
299,12.5
