,Year,Selling_Price,Present_Price,Kms_Driven,Owner
11,2015,6.85,10.38,51000,0
15,2016,7.75,10.79,43000,0
16,2015,7.25,10.79,41678,0
22,2011,4.4,8.01,50000,0
23,2014,2.5,3.46,45280,0
24,2013,2.9,4.41,56879,0
30,2012,3.1,5.98,51439,0
34,2014,5.5,8.06,45000,0
35,2011,2.95,7.74,49998,0
36,2015,4.65,7.2,48767,0
40,2016,5.85,7.87,24524,0
42,2008,1.95,7.15,58000,0
45,2014,7.5,12.04,15000,0
46,2013,2.65,4.89,64532,0
49,2017,7.75,9.29,37000,0
54,2005,2.75,10.21,90000,0
65,2014,4.75,6.95,45000,0
66,2017,19.75,23.15,11000,0
69,2016,14.25,20.91,12000,0
76,2013,5.5,14.68,72000,0
81,2015,4.75,7.85,40000,0
83,2015,12.5,13.46,38000,0
87,2012,5.9,13.74,56000,0
90,2009,3.8,18.61,62000,0
94,2008,4.0,22.78,89000,0
98,2013,7.05,18.61,45000,0
108,2016,1.2,1.5,18000,0
109,2017,1.2,1.47,11000,0
117,2015,1.1,1.9,14000,0
119,2013,1.05,1.9,5400,0
120,2016,1.05,1.26,5700,0
126,2017,0.9,0.95,1300,0
130,2017,0.75,0.87,11000,0
132,2017,0.75,0.95,3500,0
134,2017,0.65,0.81,11800,0
143,2016,0.6,0.84,25000,0
144,2014,0.6,0.99,25000,0
153,2013,0.5,0.99,45000,0
155,2017,0.48,0.51,4300,0
166,2016,0.45,0.55,1000,0
168,2013,0.42,0.73,12000,0
176,2011,0.35,1.05,30000,0
183,2013,0.27,0.47,21000,0
195,2015,0.18,0.32,35000,0
197,2010,0.16,0.51,33000,0
203,2011,2.95,4.6,53460,0
204,2015,2.75,4.43,28282,0
206,2017,5.75,7.13,12479,0
210,2012,3.1,4.6,35775,0
211,2015,11.75,14.79,43535,0
214,2017,5.25,5.7,20114,0
229,2012,3.1,6.79,52132,0
233,2013,3.9,5.7,53000,0
234,2015,5.5,5.7,4492,0
240,2012,5.35,9.4,32322,0
241,2015,4.75,7.13,35866,1
244,2013,5.95,9.4,49000,0
245,2012,5.2,9.4,71000,0
249,2016,5.25,7.6,17000,0
250,2016,12.9,13.6,35934,0
252,2015,5.4,6.82,31427,0
254,2013,5.25,9.9,54242,0
259,2014,3.9,7.0,36054,0
263,2016,6.6,7.7,16002,0
267,2016,8.35,9.4,19434,0
271,2009,3.0,10.0,69562,0
273,2010,2.25,7.5,61203,0
275,2016,10.9,13.6,30753,0
276,2015,8.65,13.6,24800,0
279,2014,6.25,13.6,40126,0
284,2013,3.5,5.9,9800,0
290,2014,4.5,6.4,19000,0
291,2015,5.4,6.1,31427,0
