,Present_Price
11,10.38
15,10.79
16,10.79
22,8.01
23,3.46
24,4.41
30,5.98
34,8.06
35,7.74
36,7.2
40,7.87
42,7.15
45,12.04
46,4.89
49,9.29
54,10.21
65,6.95
66,23.15
69,20.91
76,14.68
81,7.85
83,13.46
87,13.74
90,18.61
94,22.78
98,18.61
108,1.5
109,1.47
117,1.9
119,1.9
120,1.26
126,0.95
130,0.87
132,0.95
134,0.81
143,0.84
144,0.99
153,0.99
155,0.51
166,0.55
168,0.73
176,1.05
183,0.47
195,0.32
197,0.51
203,4.6
204,4.43
206,7.13
210,4.6
211,14.79
214,5.7
229,6.79
233,5.7
234,5.7
240,9.4
241,7.13
244,9.4
245,9.4
249,7.6
250,13.6
252,6.82
254,9.9
259,7.0
263,7.7
267,9.4
271,10.0
273,7.5
275,13.6
276,13.6
279,13.6
284,5.9
290,6.4
291,6.1
