animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
0,1,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1
1,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
2,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
3,1,0,0,1,0,0,1,1,1,1,0,0,2,0,0,1
4,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
5,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
6,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1
7,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
8,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
9,1,0,0,1,0,0,0,1,1,1,0,0,2,0,1,0
11,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0
14,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0
18,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
19,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
20,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0
22,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
23,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1
24,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0
25,0,0,1,0,0,1,1,1,1,1,0,0,2,0,0,0
25,0,0,1,0,0,1,1,1,1,1,1,0,2,0,0,0
28,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1
30,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1
31,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
32,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
33,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
34,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,0
35,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0
36,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0
37,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
40,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0
41,0,0,1,0,1,0,1,0,0,1,0,0,4,0,0,0
42,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0
44,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
45,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0
47,1,0,0,1,0,1,1,1,1,1,0,0,2,1,0,1
48,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0
49,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
50,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0
51,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,0
53,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,0
55,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1
56,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0
57,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1
58,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0
59,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
61,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
62,1,0,1,1,0,1,1,0,1,1,0,0,2,1,0,1
63,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
64,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1
65,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
66,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
67,1,0,0,1,0,0,1,1,1,1,0,0,2,1,1,1
69,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1
70,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1
71,0,0,0,0,0,0,1,0,0,1,1,0,5,1,0,0
72,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
74,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1
77,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
78,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
82,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0
83,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0
84,0,0,1,0,0,1,1,0,0,0,0,0,3,0,0,0
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1
87,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0
88,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0,0
90,0,0,1,0,0,0,1,1,1,1,0,0,2,1,0,0
91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
92,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0
93,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0
94,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1
95,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1
96,1,0,1,0,1,0,0,0,0,1,1,0,4,0,0,0
97,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
98,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
99,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0
