,Year,Selling_Price,Present_Price,Kms_Driven,Owner
1,2013,4.75,9.54,43000,0
5,2018,9.25,9.83,2071,0
12,2015,7.5,9.94,15000,0
14,2009,2.25,7.21,77427,0
24,2013,2.9,4.41,56879,0
25,2011,3.0,4.99,20000,0
33,2014,6.0,9.95,45000,0
34,2014,5.5,8.06,45000,0
38,2016,3.0,3.76,10079,0
42,2008,1.95,7.15,58000,0
43,2014,5.5,8.06,45780,0
48,2015,5.8,7.71,25870,0
51,2015,23.0,30.61,40000,0
56,2015,4.5,7.27,40534,0
57,2010,4.75,18.54,50000,0
60,2013,6.95,18.61,40001,0
66,2017,19.75,23.15,11000,0
69,2016,14.25,20.91,12000,0
70,2014,3.95,6.76,71000,0
77,2004,1.5,12.35,135154,0
81,2015,4.75,7.85,40000,0
87,2012,5.9,13.74,56000,0
89,2014,4.75,6.76,40000,0
93,2015,23.0,30.61,40000,0
95,2012,5.85,18.61,72000,0
99,2010,9.65,20.45,50024,0
102,2017,1.65,1.78,4000,0
103,2017,1.45,1.6,1200,0
111,2016,1.15,1.5,8700,0
114,2015,1.15,1.47,17000,0
119,2013,1.05,1.9,5400,0
125,2009,0.9,1.75,40000,0
126,2017,0.9,0.95,1300,0
128,2017,0.8,0.87,3000,0
131,2015,0.75,0.82,18000,0
133,2016,0.72,0.95,500,0
134,2017,0.65,0.81,11800,0
140,2013,0.6,1.2,32000,0
144,2014,0.6,0.99,25000,0
152,2012,0.5,0.99,13000,0
159,2017,0.45,0.51,4000,0
161,2014,0.45,0.826,23000,0
168,2013,0.42,0.73,12000,0
171,2015,0.4,0.55,6700,0
176,2011,0.35,1.05,30000,0
178,2014,0.35,0.52,19000,0
179,2010,0.31,1.05,213000,0
188,2013,0.25,0.57,18000,0
192,2007,0.2,0.75,49000,1
196,2008,0.17,0.52,500000,0
198,2011,0.15,0.57,35000,1
204,2015,2.75,4.43,28282,0
210,2012,3.1,4.6,35775,0
212,2016,11.25,13.6,22671,0
214,2017,5.25,5.7,20114,0
217,2016,3.15,4.43,15000,0
220,2017,3.5,4.43,38488,0
225,2011,2.7,4.6,22517,0
230,2013,6.15,9.4,45000,0
235,2017,9.1,9.4,15141,0
238,2013,4.8,9.4,60241,0
239,2012,2.0,4.43,23709,0
240,2012,5.35,9.4,32322,0
241,2015,4.75,7.13,35866,1
246,2012,3.75,6.79,35000,0
250,2016,12.9,13.6,35934,0
251,2013,5.0,9.9,56701,0
253,2014,7.2,9.9,48000,0
254,2013,5.25,9.9,54242,0
255,2012,3.0,5.35,53675,0
264,2015,4.0,7.0,40026,0
272,2015,7.5,10.0,27600,0
274,2014,5.3,6.8,16500,0
278,2016,6.0,8.4,4000,0
279,2014,6.25,13.6,40126,0
286,2016,5.65,7.9,28569,0
290,2014,4.5,6.4,19000,0
298,2009,3.35,11.0,87934,0
