,Present_Price
0,5.59
2,9.85
3,4.15
4,6.87
6,8.12
7,8.61
8,8.89
9,8.92
10,3.6
11,10.38
13,7.71
15,10.79
16,10.79
17,10.79
18,5.09
19,7.98
20,3.95
21,5.71
22,8.01
23,3.46
26,5.87
27,6.49
28,3.95
29,10.38
30,5.98
31,4.89
32,7.49
35,7.74
36,7.2
37,2.28
39,7.98
40,7.87
41,3.98
44,2.69
45,12.04
46,4.89
47,4.15
49,9.29
50,30.61
52,19.77
53,30.61
54,10.21
55,15.04
58,6.8
59,35.96
61,7.7
62,35.96
63,35.96
64,36.23
65,6.95
67,20.45
68,13.74
71,12.48
72,18.61
73,5.71
74,8.93
75,6.8
76,14.68
78,22.83
79,30.61
80,14.89
82,25.39
83,13.46
84,13.46
85,23.73
86,92.6
88,6.05
90,18.61
91,16.09
92,13.7
94,22.78
96,25.39
97,18.64
98,18.61
100,1.9
101,1.82
104,1.47
105,2.37
106,3.45
107,1.5
108,1.5
109,1.47
110,1.78
112,2.4
113,1.4
115,1.47
116,1.47
117,1.9
118,1.47
120,1.26
121,1.5
122,1.17
123,1.47
124,1.75
127,0.8
129,0.84
130,0.87
132,0.95
135,0.74
136,1.2
137,0.787
138,0.87
139,0.95
141,0.8
142,0.84
143,0.84
145,0.81
146,0.787
147,0.84
148,0.94
149,0.94
150,0.826
151,0.55
153,0.99
154,0.88
155,0.51
156,0.52
157,0.84
158,0.54
160,0.95
162,0.99
163,0.95
164,0.54
165,0.54
166,0.55
167,0.81
169,0.54
170,0.83
172,0.64
173,0.51
174,0.72
175,0.787
177,0.57
180,0.51
181,0.48
182,0.58
183,0.47
184,0.75
185,0.58
186,0.52
187,0.51
189,0.57
190,0.75
191,0.57
193,0.65
194,0.787
195,0.32
197,0.51
199,0.58
200,0.75
201,6.79
202,5.7
203,4.6
205,5.7
206,7.13
207,5.7
208,8.1
209,5.7
211,14.79
213,6.79
215,9.4
216,4.43
218,9.4
219,9.4
221,6.79
222,7.6
223,9.4
224,9.4
226,5.7
227,4.43
228,9.4
229,6.79
231,9.4
232,14.79
233,5.7
234,5.7
236,4.43
237,13.6
242,7.13
243,7.6
244,9.4
245,9.4
247,9.4
248,4.6
249,7.6
252,6.82
256,13.6
257,13.6
258,13.6
259,7.0
260,13.6
261,5.97
262,5.8
263,7.7
265,8.7
266,7.0
267,9.4
268,5.8
269,10.0
270,10.0
271,10.0
273,7.5
275,13.6
276,13.6
277,13.6
280,5.9
281,7.6
282,14.0
283,11.8
284,5.9
285,8.5
287,7.5
288,13.6
289,13.6
291,6.1
292,8.4
293,9.9
294,6.8
295,13.09
296,11.6
297,5.9
299,12.5
300,5.9
