Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
2,4.9,3.0,1.4,0.2
4,4.6,3.1,1.5,0.2
9,4.4,2.9,1.4,0.2
10,4.9,3.1,1.5,0.1
13,4.8,3.0,1.4,0.1
16,5.7,4.4,1.5,0.4
21,5.4,3.4,1.7,0.2
30,4.7,3.2,1.6,0.2
33,5.2,4.1,1.5,0.1
35,4.9,3.1,1.5,0.1
38,4.9,3.1,1.5,0.1
48,4.6,3.2,1.4,0.2
49,5.3,3.7,1.5,0.2
57,6.3,3.3,4.7,1.6
64,6.1,2.9,4.7,1.4
68,5.8,2.7,4.1,1.0
70,5.6,2.5,3.9,1.1
75,6.4,2.9,4.3,1.3
81,5.5,2.4,3.8,1.1
87,6.7,3.1,4.7,1.5
88,6.3,2.3,4.4,1.3
89,5.6,3.0,4.1,1.3
91,5.5,2.6,4.4,1.2
92,6.1,3.0,4.6,1.4
96,5.7,3.0,4.2,1.2
100,5.7,2.8,4.1,1.3
103,7.1,3.0,5.9,2.1
104,6.3,2.9,5.6,1.8
105,6.5,3.0,5.8,2.2
118,7.7,3.8,6.7,2.2
121,6.9,3.2,5.7,2.3
123,7.7,2.8,6.7,2.0
125,6.7,3.3,5.7,2.1
126,7.2,3.2,6.0,1.8
129,6.4,2.8,5.6,2.1
130,7.2,3.0,5.8,1.6
132,7.9,3.8,6.4,2.0
139,6.0,3.0,4.8,1.8
