Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
8,5.0,3.4,1.5,0.2
9,4.4,2.9,1.4,0.2
16,5.7,4.4,1.5,0.4
18,5.1,3.5,1.4,0.3
22,5.1,3.7,1.5,0.4
26,5.0,3.0,1.6,0.2
28,5.2,3.5,1.5,0.2
29,5.2,3.4,1.4,0.2
30,4.7,3.2,1.6,0.2
32,5.4,3.4,1.5,0.4
33,5.2,4.1,1.5,0.1
38,4.9,3.1,1.5,0.1
40,5.1,3.4,1.5,0.2
42,4.5,2.3,1.3,0.3
44,5.0,3.5,1.6,0.6
48,4.6,3.2,1.4,0.2
50,5.0,3.3,1.4,0.2
54,5.5,2.3,4.0,1.3
55,6.5,2.8,4.6,1.5
64,6.1,2.9,4.7,1.4
70,5.6,2.5,3.9,1.1
89,5.6,3.0,4.1,1.3
90,5.5,2.5,4.0,1.3
94,5.0,2.3,3.3,1.0
97,5.7,2.9,4.2,1.3
104,6.3,2.9,5.6,1.8
105,6.5,3.0,5.8,2.2
108,7.3,2.9,6.3,1.8
111,6.5,3.2,5.1,2.0
113,6.8,3.0,5.5,2.1
115,5.8,2.8,5.1,2.4
122,5.6,2.8,4.9,2.0
124,6.3,2.7,4.9,1.8
135,6.1,2.6,5.6,1.4
139,6.0,3.0,4.8,1.8
142,6.9,3.1,5.1,2.3
145,6.7,3.3,5.7,2.5
147,6.3,2.5,5.0,1.9
148,6.5,3.0,5.2,2.0
149,6.2,3.4,5.4,2.3
