,Year,Selling_Price,Present_Price,Kms_Driven,Owner
0,2014,3.35,5.59,27000,0
2,2017,7.25,9.85,6900,0
13,2015,6.1,7.71,26000,0
21,2017,4.9,5.71,2400,0
27,2017,6.0,6.49,16200,0
31,2011,2.35,4.89,54200,0
32,2014,4.95,7.49,39000,0
34,2014,5.5,8.06,45000,0
35,2011,2.95,7.74,49998,0
37,2003,0.35,2.28,127000,0
42,2008,1.95,7.15,58000,0
49,2017,7.75,9.29,37000,0
53,2013,16.0,30.61,135000,0
55,2009,3.6,15.04,70000,0
59,2014,19.99,35.96,41000,0
65,2014,4.75,6.95,45000,0
69,2016,14.25,20.91,12000,0
72,2013,7.45,18.61,56001,0
78,2010,5.25,22.83,80000,0
79,2012,14.5,30.61,89000,0
80,2016,14.73,14.89,23000,0
81,2015,4.75,7.85,40000,0
88,2013,3.45,6.05,47000,0
90,2009,3.8,18.61,62000,0
93,2015,23.0,30.61,40000,0
94,2008,4.0,22.78,89000,0
101,2017,1.7,1.82,1400,0
103,2017,1.45,1.6,1200,0
104,2017,1.35,1.47,4100,0
106,2014,1.35,3.45,16500,1
111,2016,1.15,1.5,8700,0
113,2016,1.15,1.4,35000,0
124,2012,0.95,1.75,11500,0
128,2017,0.8,0.87,3000,0
131,2015,0.75,0.82,18000,0
132,2017,0.75,0.95,3500,0
137,2013,0.65,0.787,16000,0
139,2015,0.6,0.95,16600,0
144,2014,0.6,0.99,25000,0
146,2014,0.55,0.787,15000,0
147,2015,0.55,0.84,58000,0
148,2010,0.52,0.94,45000,0
149,2016,0.51,0.94,24000,0
150,2011,0.5,0.826,6000,0
153,2013,0.5,0.99,45000,0
156,2017,0.48,0.52,15000,0
160,2011,0.45,0.95,24000,0
164,2016,0.45,0.54,14000,0
174,2015,0.38,0.72,38600,0
181,2016,0.3,0.48,50000,0
183,2013,0.27,0.47,21000,0
185,2008,0.25,0.58,1900,0
188,2013,0.25,0.57,18000,0
195,2015,0.18,0.32,35000,0
205,2016,5.25,5.7,3493,1
209,2015,4.85,5.7,21125,0
215,2012,4.5,9.4,36100,0
216,2016,2.9,4.43,12500,0
218,2014,6.45,9.4,45078,0
219,2012,4.5,9.4,36000,0
225,2011,2.7,4.6,22517,0
228,2012,4.95,9.4,60000,0
230,2013,6.15,9.4,45000,0
234,2015,5.5,5.7,4492,0
241,2015,4.75,7.13,35866,1
247,2015,5.95,9.4,36000,0
251,2013,5.0,9.9,56701,0
252,2015,5.4,6.82,31427,0
258,2015,8.4,13.6,25000,0
261,2016,5.5,5.97,5600,0
269,2015,6.7,10.0,18828,0
275,2016,10.9,13.6,30753,0
282,2014,8.25,14.0,63000,0
283,2016,8.99,11.8,9010,0
284,2013,3.5,5.9,9800,0
285,2016,7.4,8.5,15059,0
289,2016,10.11,13.6,10980,0
291,2015,5.4,6.1,31427,0
294,2014,3.75,6.8,33019,0
299,2017,11.5,12.5,9000,0
