,Present_Price
1,9.54
4,6.87
5,9.83
13,7.71
14,7.21
20,3.95
22,8.01
27,6.49
36,7.2
37,2.28
47,4.15
63,35.96
69,20.91
83,13.46
91,16.09
106,3.45
107,1.5
109,1.47
118,1.47
121,1.5
123,1.47
124,1.75
127,0.8
131,0.82
133,0.95
136,1.2
137,0.787
140,1.2
144,0.99
146,0.787
150,0.826
152,0.99
165,0.54
167,0.81
168,0.73
169,0.54
175,0.787
178,0.52
179,1.05
185,0.58
190,0.75
191,0.57
195,0.32
198,0.57
202,5.7
204,4.43
211,14.79
213,6.79
218,9.4
222,7.6
228,9.4
232,14.79
237,13.6
238,9.4
240,9.4
242,7.13
246,6.79
253,9.9
255,5.35
257,13.6
258,13.6
260,13.6
265,8.7
267,9.4
273,7.5
281,7.6
283,11.8
287,7.5
288,13.6
289,13.6
292,8.4
295,13.09
297,5.9
