,Present_Price
4,6.87
11,10.38
17,10.79
25,4.99
27,6.49
28,3.95
30,5.98
31,4.89
32,7.49
38,3.76
40,7.87
43,8.06
45,12.04
48,7.71
50,30.61
55,15.04
56,7.27
57,18.54
59,35.96
60,18.61
61,7.7
62,35.96
64,36.23
65,6.95
66,23.15
67,20.45
68,13.74
71,12.48
72,18.61
76,14.68
77,12.35
89,6.76
99,20.45
110,1.78
115,1.47
120,1.26
124,1.75
128,0.87
136,1.2
139,0.95
141,0.8
143,0.84
156,0.52
159,0.51
162,0.99
164,0.54
165,0.54
170,0.83
175,0.787
178,0.52
183,0.47
184,0.75
185,0.58
189,0.57
197,0.51
209,5.7
211,14.79
217,4.43
219,9.4
227,4.43
230,9.4
231,9.4
232,14.79
233,5.7
234,5.7
236,4.43
237,13.6
240,9.4
253,9.9
257,13.6
258,13.6
259,7.0
261,5.97
263,7.7
271,10.0
272,10.0
274,6.8
277,13.6
280,5.9
291,6.1
292,8.4
299,12.5
