,Present_Price
1,9.54
3,4.15
4,6.87
5,9.83
6,8.12
7,8.61
9,8.92
10,3.6
11,10.38
12,9.94
13,7.71
15,10.79
17,10.79
18,5.09
19,7.98
20,3.95
21,5.71
23,3.46
24,4.41
25,4.99
27,6.49
29,10.38
30,5.98
31,4.89
32,7.49
33,9.95
37,2.28
38,3.76
39,7.98
41,3.98
42,7.15
43,8.06
44,2.69
45,12.04
47,4.15
48,7.71
50,30.61
51,30.61
53,30.61
54,10.21
55,15.04
58,6.8
59,35.96
60,18.61
61,7.7
62,35.96
63,35.96
64,36.23
67,20.45
69,20.91
72,18.61
74,8.93
75,6.8
76,14.68
80,14.89
81,7.85
82,25.39
83,13.46
84,13.46
85,23.73
86,92.6
91,16.09
93,30.61
95,18.61
97,18.64
98,18.61
99,20.45
100,1.9
102,1.78
104,1.47
107,1.5
108,1.5
109,1.47
110,1.78
111,1.5
112,2.4
114,1.47
115,1.47
117,1.9
118,1.47
119,1.9
120,1.26
121,1.5
122,1.17
123,1.47
124,1.75
126,0.95
127,0.8
128,0.87
129,0.84
130,0.87
131,0.82
132,0.95
134,0.81
136,1.2
137,0.787
141,0.8
142,0.84
143,0.84
144,0.99
145,0.81
146,0.787
147,0.84
149,0.94
151,0.55
152,0.99
153,0.99
155,0.51
156,0.52
157,0.84
158,0.54
159,0.51
160,0.95
162,0.99
163,0.95
164,0.54
165,0.54
166,0.55
167,0.81
168,0.73
169,0.54
170,0.83
172,0.64
175,0.787
177,0.57
178,0.52
179,1.05
180,0.51
181,0.48
184,0.75
185,0.58
186,0.52
187,0.51
188,0.57
189,0.57
190,0.75
191,0.57
192,0.75
193,0.65
195,0.32
196,0.52
197,0.51
199,0.58
200,0.75
202,5.7
203,4.6
204,4.43
205,5.7
206,7.13
207,5.7
208,8.1
215,9.4
216,4.43
217,4.43
219,9.4
220,4.43
223,9.4
230,9.4
231,9.4
232,14.79
233,5.7
234,5.7
235,9.4
236,4.43
237,13.6
238,9.4
239,4.43
240,9.4
241,7.13
242,7.13
243,7.6
244,9.4
245,9.4
246,6.79
247,9.4
249,7.6
250,13.6
252,6.82
253,9.9
254,9.9
255,5.35
256,13.6
257,13.6
259,7.0
260,13.6
261,5.97
263,7.7
264,7.0
265,8.7
267,9.4
269,10.0
270,10.0
271,10.0
272,10.0
274,6.8
276,13.6
277,13.6
278,8.4
279,13.6
280,5.9
283,11.8
285,8.5
286,7.9
288,13.6
290,6.4
291,6.1
294,6.8
295,13.09
296,11.6
297,5.9
298,11.0
299,12.5
300,5.9
