,Selling_Price
8,8.75
10,2.85
19,2.65
23,2.5
39,2.25
44,1.25
48,5.8
51,23.0
58,4.1
62,18.75
68,4.35
75,3.95
77,1.5
82,23.0
88,3.45
89,4.75
101,1.7
103,1.45
108,1.2
110,1.2
114,1.15
115,1.11
116,1.1
118,1.1
120,1.05
123,1.0
124,0.95
131,0.75
133,0.72
134,0.65
135,0.65
137,0.65
140,0.6
149,0.51
150,0.5
151,0.5
169,0.4
171,0.4
172,0.4
174,0.38
176,0.35
177,0.35
180,0.3
187,0.25
190,0.2
191,0.2
194,0.2
200,0.1
201,3.25
204,2.75
205,5.25
209,4.85
210,3.1
212,11.25
213,2.9
214,5.25
215,4.5
216,2.9
217,3.15
218,6.45
227,2.55
228,4.95
234,5.5
236,3.1
240,5.35
247,5.95
250,12.9
251,5.0
255,3.0
257,8.5
261,5.5
265,6.5
266,3.65
271,3.0
282,8.25
286,5.65
287,5.75
290,4.5
297,4.0
299,11.5
