Year,Present_Price,Kms_Driven,Owner
2011,4.15,5200,0
2015,8.92,42367,0
2016,10.79,43000,0
2014,3.46,45280,0
2013,4.41,56879,0
2010,3.95,44542,0
2015,10.38,45000,0
2011,7.74,49998,0
2016,3.76,10079,0
2016,7.87,24524,0
2012,2.69,50000,0
2017,9.29,37000,0
2012,30.61,104707,0
2017,19.77,15000,0
2005,10.21,90000,0
2015,7.27,40534,0
2014,6.76,71000,0
2015,6.8,36000,0
2013,14.68,72000,0
2012,13.74,56000,0
2014,16.09,58242,0
2017,18.64,8700,0
2013,18.61,45000,0
2016,1.9,3000,0
2017,1.82,1400,0
2013,1.47,33000,0
2015,1.9,14000,0
2013,1.9,5400,0
2016,1.17,6000,0
2017,0.95,1300,0
2017,0.87,3000,0
2017,0.84,5000,0
2013,0.787,16000,0
2015,0.95,16600,0
2013,1.2,32000,0
2015,0.84,29000,0
2012,0.81,19000,0
2014,0.787,15000,0
2010,0.94,45000,0
2011,0.826,6000,0
2017,0.51,4000,0
2016,0.55,1000,0
2012,0.83,5500,0
2017,0.51,1300,0
2015,0.72,38600,0
2010,1.05,213000,0
2016,0.48,50000,0
2008,0.58,1900,0
2010,0.52,22000,0
2008,0.52,500000,0
2010,6.79,58000,1
2015,5.7,21125,0
2015,14.79,43535,0
2016,4.43,15000,0
2012,9.4,36000,0
2017,4.43,38488,0
2013,6.79,32000,0
2014,7.6,77632,0
2015,5.7,24678,0
2013,9.4,45000,0
2017,9.4,15141,0
2016,4.43,11849,0
2013,9.4,60241,0
2012,4.43,23709,0
2014,7.13,34000,0
2016,7.6,7000,0
2012,9.4,71000,0
2016,7.6,17000,0
2015,13.6,25000,0
2014,7.0,36054,0
2016,5.97,5600,0
2017,5.8,19000,0
2009,10.0,69562,0
2015,13.6,34000,0
2016,13.6,10980,0
2014,6.8,33019,0
2015,13.09,60076,0
2009,11.0,87934,0
