Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
3,4.7,3.2,1.3,0.2
15,5.8,4.0,1.2,0.2
21,5.4,3.4,1.7,0.2
25,4.8,3.4,1.9,0.2
36,5.0,3.2,1.2,0.2
40,5.1,3.4,1.5,0.2
42,4.5,2.3,1.3,0.3
44,5.0,3.5,1.6,0.6
58,4.9,2.4,3.3,1.0
62,5.9,3.0,4.2,1.5
66,6.7,3.1,4.4,1.4
69,6.2,2.2,4.5,1.5
71,5.9,3.2,4.8,1.8
73,6.3,2.5,4.9,1.5
81,5.5,2.4,3.8,1.1
82,5.5,2.4,3.7,1.0
83,5.8,2.7,3.9,1.2
84,6.0,2.7,5.1,1.6
93,5.8,2.6,4.0,1.2
94,5.0,2.3,3.3,1.0
96,5.7,3.0,4.2,1.2
99,5.1,2.5,3.0,1.1
103,7.1,3.0,5.9,2.1
104,6.3,2.9,5.6,1.8
114,5.7,2.5,5.0,2.0
115,5.8,2.8,5.1,2.4
117,6.5,3.0,5.5,1.8
121,6.9,3.2,5.7,2.3
130,7.2,3.0,5.8,1.6
131,7.4,2.8,6.1,1.9
137,6.3,3.4,5.6,2.4
