Year,Present_Price,Kms_Driven,Owner
2011,4.15,5200,0
2015,8.12,18796,0
2017,3.6,2135,0
2015,7.71,26000,0
2009,7.21,77427,0
2016,10.79,43000,0
2015,5.09,35500,0
2013,4.41,56879,0
2012,5.98,51439,0
2011,7.74,49998,0
2014,3.98,46706,0
2015,7.71,25870,0
2015,7.27,40534,0
2015,7.7,40588,0
2014,35.96,78000,0
2015,35.96,47000,0
2014,8.93,83000,0
2015,6.8,36000,0
2012,30.61,89000,0
2016,14.89,23000,0
2006,23.73,142000,3
2017,1.78,4000,0
2017,1.6,1200,0
2015,2.37,21700,0
2013,1.5,15000,0
2016,1.5,18000,0
2014,2.4,7000,0
2015,1.47,17500,0
2015,1.47,26000,0
2013,1.9,5400,0
2016,0.8,20000,0
2015,0.84,29000,0
2014,0.787,15000,0
2015,0.84,58000,0
2017,0.51,4300,0
2015,0.72,38600,0
2011,0.787,75000,0
2010,1.05,213000,0
2008,0.58,1900,0
2010,0.52,22000,0
2013,0.57,18000,0
2008,0.75,60000,0
2008,0.787,50000,0
2017,7.13,12479,0
2015,14.79,43535,0
2016,13.6,22671,0
2011,6.79,31604,0
2017,5.7,20114,0
2012,9.4,36100,0
2016,4.43,12500,0
2016,4.43,15000,0
2014,9.4,45078,0
2014,7.6,77632,0
2012,4.43,23709,0
2012,9.4,32322,0
2016,7.6,7000,0
2016,7.6,17000,0
2013,9.9,56701,0
2015,6.82,31427,0
2012,5.35,53675,0
2016,13.6,49562,0
2015,13.6,25000,0
2014,7.0,36054,0
2016,5.97,5600,0
2015,5.8,40023,0
2016,9.4,19434,0
2009,10.0,69562,0
2015,10.0,27600,0
2016,13.6,30753,0
2016,8.4,4000,0
2014,14.0,63000,0
2015,7.5,44000,0
2015,6.1,31427,0
2015,13.09,60076,0
2015,5.9,60000,0
