,Present_Price
0,5.59
1,9.54
3,4.15
4,6.87
5,9.83
7,8.61
8,8.89
9,8.92
10,3.6
11,10.38
12,9.94
13,7.71
14,7.21
15,10.79
16,10.79
18,5.09
20,3.95
21,5.71
22,8.01
23,3.46
24,4.41
25,4.99
26,5.87
27,6.49
28,3.95
29,10.38
30,5.98
31,4.89
32,7.49
35,7.74
38,3.76
39,7.98
40,7.87
41,3.98
43,8.06
44,2.69
45,12.04
46,4.89
47,4.15
48,7.71
49,9.29
50,30.61
52,19.77
53,30.61
54,10.21
57,18.54
58,6.8
59,35.96
60,18.61
61,7.7
62,35.96
63,35.96
64,36.23
65,6.95
67,20.45
68,13.74
70,6.76
71,12.48
74,8.93
75,6.8
76,14.68
77,12.35
78,22.83
79,30.61
80,14.89
82,25.39
83,13.46
84,13.46
85,23.73
86,92.6
87,13.74
88,6.05
89,6.76
90,18.61
94,22.78
95,18.61
96,25.39
97,18.64
98,18.61
101,1.82
102,1.78
103,1.6
104,1.47
105,2.37
106,3.45
107,1.5
108,1.5
109,1.47
110,1.78
111,1.5
114,1.47
115,1.47
116,1.47
117,1.9
118,1.47
119,1.9
120,1.26
121,1.5
122,1.17
123,1.47
124,1.75
125,1.75
127,0.8
129,0.84
130,0.87
131,0.82
134,0.81
135,0.74
136,1.2
137,0.787
138,0.87
143,0.84
145,0.81
147,0.84
149,0.94
150,0.826
151,0.55
152,0.99
153,0.99
154,0.88
156,0.52
157,0.84
158,0.54
161,0.826
162,0.99
163,0.95
165,0.54
166,0.55
167,0.81
168,0.73
169,0.54
173,0.51
174,0.72
175,0.787
181,0.48
183,0.47
185,0.58
186,0.52
187,0.51
188,0.57
189,0.57
190,0.75
192,0.75
193,0.65
195,0.32
197,0.51
198,0.57
201,6.79
202,5.7
205,5.7
206,7.13
208,8.1
210,4.6
211,14.79
212,13.6
213,6.79
214,5.7
216,4.43
217,4.43
218,9.4
219,9.4
221,6.79
222,7.6
223,9.4
224,9.4
225,4.6
226,5.7
228,9.4
229,6.79
231,9.4
232,14.79
233,5.7
235,9.4
236,4.43
238,9.4
239,4.43
240,9.4
241,7.13
242,7.13
244,9.4
245,9.4
247,9.4
249,7.6
251,9.9
252,6.82
255,5.35
256,13.6
257,13.6
258,13.6
259,7.0
260,13.6
261,5.97
262,5.8
263,7.7
264,7.0
265,8.7
268,5.8
270,10.0
271,10.0
272,10.0
273,7.5
274,6.8
275,13.6
276,13.6
278,8.4
282,14.0
285,8.5
286,7.9
288,13.6
289,13.6
290,6.4
291,6.1
292,8.4
293,9.9
294,6.8
295,13.09
297,5.9
298,11.0
299,12.5
300,5.9
