animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
6,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1
9,1,0,0,1,0,0,0,1,1,1,0,0,2,0,1,0
14,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0
15,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0
16,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0
17,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
18,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
20,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0
21,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
25,0,0,1,0,0,1,1,1,1,1,1,0,2,0,0,0
29,0,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0
30,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1
31,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1
33,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
36,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0
39,1,0,1,0,1,0,0,0,0,1,0,0,4,0,0,0
47,1,0,0,1,0,1,1,1,1,1,0,0,2,1,0,1
49,1,0,0,1,0,0,1,1,1,1,0,0,2,1,0,1
52,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,1
54,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1
59,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
62,1,0,1,1,0,1,1,0,1,1,0,0,2,1,0,1
64,1,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1
72,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
77,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0
79,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
85,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1
89,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1
91,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
92,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0
