Year,Present_Price,Kms_Driven,Owner,Seller_Type_Dealer,Seller_Type_Individual
2017,9.85,6900,0,1,0
2015,8.12,18796,0,1,0
2017,3.6,2135,0,1,0
2009,7.21,77427,0,1,0
2016,10.79,43000,0,1,0
2016,10.79,43000,0,1,0
2010,7.98,41442,0,1,0
2014,9.95,45000,0,1,0
2003,2.28,127000,0,0,1
2014,3.98,46706,0,1,0
2008,7.15,58000,0,1,0
2005,10.21,90000,0,0,1
2009,15.04,70000,0,1,0
2010,18.54,50000,0,1,0
2014,6.8,39485,1,1,0
2013,18.61,40001,0,1,0
2015,7.7,40588,0,1,0
2014,35.96,78000,0,1,0
2014,6.95,45000,0,1,0
2017,23.15,11000,0,1,0
2014,8.93,83000,0,1,0
2004,12.35,135154,0,1,0
2012,30.61,89000,0,1,0
2015,7.85,40000,0,1,0
2006,23.73,142000,3,0,1
2012,18.61,72000,0,1,0
2017,1.78,4000,0,0,1
2017,1.6,1200,0,0,1
2014,3.45,16500,1,0,1
2013,1.5,15000,0,0,1
2016,1.5,8700,0,0,1
2014,2.4,7000,0,0,1
2015,1.9,14000,0,0,1
2012,1.75,11500,0,0,1
2015,0.82,18000,0,0,1
2016,0.95,500,0,0,1
2015,0.95,16600,0,0,1
2016,0.84,25000,0,0,1
2014,0.787,15000,0,0,1
2015,0.84,58000,0,0,1
2011,0.826,6000,0,0,1
2016,0.55,31000,0,0,1
2017,0.51,4300,0,0,1
2016,0.54,500,0,0,1
2013,0.73,12000,0,0,1
2015,0.54,14000,0,0,1
2012,0.83,5500,0,0,1
2017,0.51,1300,0,0,1
2011,0.787,75000,0,0,1
2016,0.57,24000,0,0,1
2010,1.05,213000,0,0,1
2008,0.75,26000,1,0,1
2010,0.52,22000,0,0,1
2012,0.57,25000,1,0,1
2013,0.65,24000,1,0,1
2008,0.52,500000,0,0,1
2011,0.57,35000,1,0,1
2006,0.75,92233,0,0,1
2015,14.79,43535,0,1,0
2016,4.43,12500,0,1,0
2017,4.43,38488,0,1,0
2013,6.79,32000,0,1,0
2015,5.7,24678,0,1,0
2017,9.4,15141,0,1,0
2016,4.43,11849,0,1,0
2015,13.6,68000,0,1,0
2014,9.9,48000,0,1,0
2016,13.6,49562,0,1,0
2016,13.6,29223,0,1,0
2016,7.7,16002,0,1,0
2014,7.0,35000,0,1,0
2016,9.4,19434,0,1,0
2015,10.0,18828,0,1,0
2015,10.0,27600,0,1,0
2015,13.6,24800,0,1,0
2015,13.6,21780,0,1,0
2014,13.6,40126,0,1,0
2015,5.9,14465,0,1,0
2006,7.6,50456,0,1,0
2016,11.8,9010,0,1,0
2016,8.5,15059,0,1,0
2016,7.9,28569,0,1,0
2010,9.9,38000,0,1,0
2015,13.09,60076,0,1,0
2016,11.6,33988,0,1,0
2015,5.9,60000,0,1,0
2016,5.9,5464,0,1,0
