,Year,Selling_Price,Present_Price,Kms_Driven,Owner
2,2017,7.25,9.85,6900,0
3,2011,2.85,4.15,5200,0
4,2014,4.6,6.87,42450,0
6,2015,6.75,8.12,18796,0
9,2015,7.45,8.92,42367,0
15,2016,7.75,10.79,43000,0
21,2017,4.9,5.71,2400,0
22,2011,4.4,8.01,50000,0
26,2013,4.15,5.87,55138,0
34,2014,5.5,8.06,45000,0
39,2003,2.25,7.98,62000,0
40,2016,5.85,7.87,24524,0
41,2014,2.55,3.98,46706,0
49,2017,7.75,9.29,37000,0
53,2013,16.0,30.61,135000,0
54,2005,2.75,10.21,90000,0
57,2010,4.75,18.54,50000,0
67,2010,9.25,20.45,59000,0
69,2016,14.25,20.91,12000,0
70,2014,3.95,6.76,71000,0
79,2012,14.5,30.61,89000,0
83,2015,12.5,13.46,38000,0
84,2005,3.49,13.46,197176,0
86,2010,35.0,92.6,78000,0
93,2015,23.0,30.61,40000,0
94,2008,4.0,22.78,89000,0
96,2016,20.75,25.39,29000,0
97,2017,17.0,18.64,8700,0
101,2017,1.7,1.82,1400,0
107,2013,1.25,1.5,15000,0
108,2016,1.2,1.5,18000,0
121,2011,1.05,1.5,6900,0
122,2016,1.05,1.17,6000,0
124,2012,0.95,1.75,11500,0
127,2016,0.75,0.8,7000,0
128,2017,0.8,0.87,3000,0
143,2016,0.6,0.84,25000,0
149,2016,0.51,0.94,24000,0
152,2012,0.5,0.99,13000,0
153,2013,0.5,0.99,45000,0
154,2014,0.5,0.88,8000,0
156,2017,0.48,0.52,15000,0
159,2017,0.45,0.51,4000,0
165,2016,0.45,0.54,500,0
168,2013,0.42,0.73,12000,0
169,2015,0.4,0.54,14000,0
175,2011,0.38,0.787,75000,0
183,2013,0.27,0.47,21000,0
185,2008,0.25,0.58,1900,0
189,2005,0.2,0.57,55000,0
192,2007,0.2,0.75,49000,1
193,2013,0.2,0.65,24000,1
199,2007,0.12,0.58,53000,0
201,2010,3.25,6.79,58000,1
203,2011,2.95,4.6,53460,0
207,2015,5.15,5.7,34797,0
216,2016,2.9,4.43,12500,0
221,2013,4.5,6.79,32000,0
225,2011,2.7,4.6,22517,0
234,2015,5.5,5.7,4492,0
238,2013,4.8,9.4,60241,0
239,2012,2.0,4.43,23709,0
243,2016,6.25,7.6,7000,0
255,2012,3.0,5.35,53675,0
258,2015,8.4,13.6,25000,0
264,2015,4.0,7.0,40026,0
267,2016,8.35,9.4,19434,0
268,2017,4.8,5.8,19000,0
270,2011,4.1,10.0,69341,0
272,2015,7.5,10.0,27600,0
273,2010,2.25,7.5,61203,0
275,2016,10.9,13.6,30753,0
277,2015,9.7,13.6,21780,0
279,2014,6.25,13.6,40126,0
292,2016,6.4,8.4,12000,0
296,2016,9.5,11.6,33988,0
