,Kms_Driven
2,6900
3,5200
4,42450
6,18796
9,42367
15,43000
21,2400
22,50000
26,55138
34,45000
39,62000
40,24524
41,46706
49,37000
53,135000
54,90000
57,50000
67,59000
69,12000
70,71000
79,89000
83,38000
84,197176
86,78000
93,40000
94,89000
96,29000
97,8700
101,1400
107,15000
108,18000
121,6900
122,6000
124,11500
127,7000
128,3000
143,25000
149,24000
152,13000
153,45000
154,8000
156,15000
159,4000
165,500
168,12000
169,14000
175,75000
183,21000
185,1900
189,55000
192,49000
193,24000
199,53000
201,58000
203,53460
207,34797
216,12500
221,32000
225,22517
234,4492
238,60241
239,23709
243,7000
255,53675
258,25000
264,40026
267,19434
268,19000
270,69341
272,27600
273,61203
275,30753
277,21780
279,40126
292,12000
296,33988
