,Kms_Driven
0,27000
1,43000
5,2071
7,33429
8,20273
10,2135
11,51000
12,15000
13,26000
14,77427
16,41678
17,43000
18,35500
19,41442
20,25000
23,45280
24,56879
25,20000
27,16200
28,44542
29,45000
30,51439
31,54200
32,39000
33,45000
35,49998
36,48767
37,127000
38,10079
42,58000
43,45780
44,50000
45,15000
46,64532
47,65000
48,25870
50,104707
51,40000
52,15000
55,70000
56,40534
58,39485
59,41000
60,40001
61,40588
62,78000
63,47000
64,6000
65,45000
66,11000
68,88000
71,45000
72,56001
73,43000
74,83000
75,36000
76,72000
77,135154
78,80000
80,23000
81,40000
82,15000
85,142000
87,56000
88,47000
89,40000
90,62000
91,58242
92,75000
95,72000
98,45000
99,50024
100,3000
102,4000
103,1200
104,4100
105,21700
106,16500
109,11000
110,6000
111,8700
112,7000
113,35000
114,17000
115,17500
116,33000
117,14000
118,26000
119,5400
120,5700
123,46500
125,40000
126,1300
129,5000
130,11000
131,18000
132,3500
133,500
134,11800
135,5000
136,23500
137,16000
138,15000
139,16600
140,32000
141,20000
142,29000
144,25000
145,19000
146,15000
147,58000
148,45000
150,6000
151,31000
155,4300
157,23000
158,8600
160,24000
161,23000
162,14500
163,27000
164,14000
166,1000
167,42000
170,5500
171,6700
172,13700
173,1300
174,38600
176,30000
177,24000
178,19000
179,213000
180,60000
181,50000
182,30000
184,26000
186,22000
187,32000
188,18000
190,60000
191,25000
194,50000
195,35000
196,500000
197,33000
198,35000
200,92233
202,28200
204,28282
205,3493
206,12479
208,3435
209,21125
210,35775
211,43535
212,22671
213,31604
214,20114
215,36100
217,15000
218,45078
219,36000
220,38488
222,77632
223,61381
224,36198
226,24678
227,57000
228,60000
229,52132
230,45000
231,15001
232,12900
233,53000
235,15141
236,11849
237,68000
240,32322
241,35866
242,34000
244,49000
245,71000
246,35000
247,36000
248,30000
249,17000
250,35934
251,56701
252,31427
253,48000
254,54242
256,49562
257,40324
259,36054
260,29223
261,5600
262,40023
263,16002
265,21200
266,35000
269,18828
271,69562
274,16500
276,24800
278,4000
280,14465
281,50456
282,63000
283,9010
284,9800
285,15059
286,28569
287,44000
288,34000
289,10980
290,19000
291,31427
293,38000
294,33019
295,60076
297,60000
298,87934
299,9000
300,5464
