Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
1,5.1,3.5,1.4,0.2
2,4.9,3.0,1.4,0.2
10,4.9,3.1,1.5,0.1
25,4.8,3.4,1.9,0.2
28,5.2,3.5,1.5,0.2
29,5.2,3.4,1.4,0.2
32,5.4,3.4,1.5,0.4
45,5.1,3.8,1.9,0.4
49,5.3,3.7,1.5,0.2
52,6.4,3.2,4.5,1.5
60,5.2,2.7,3.9,1.4
61,5.0,2.0,3.5,1.0
65,5.6,2.9,3.6,1.3
68,5.8,2.7,4.1,1.0
85,5.4,3.0,4.5,1.5
86,6.0,3.4,4.5,1.6
88,6.3,2.3,4.4,1.3
89,5.6,3.0,4.1,1.3
90,5.5,2.5,4.0,1.3
98,6.2,2.9,4.3,1.3
100,5.7,2.8,4.1,1.3
102,5.8,2.7,5.1,1.9
111,6.5,3.2,5.1,2.0
114,5.7,2.5,5.0,2.0
121,6.9,3.2,5.7,2.3
124,6.3,2.7,4.9,1.8
133,6.4,2.8,5.6,2.2
139,6.0,3.0,4.8,1.8
140,6.9,3.1,5.4,2.1
142,6.9,3.1,5.1,2.3
145,6.7,3.3,5.7,2.5
149,6.2,3.4,5.4,2.3
150,5.9,3.0,5.1,1.8
