,Present_Price
0,5.59
1,9.54
3,4.15
4,6.87
7,8.61
8,8.89
9,8.92
10,3.6
11,10.38
12,9.94
19,7.98
20,3.95
21,5.71
23,3.46
24,4.41
26,5.87
27,6.49
28,3.95
29,10.38
30,5.98
31,4.89
32,7.49
34,8.06
36,7.2
37,2.28
39,7.98
40,7.87
41,3.98
42,7.15
43,8.06
44,2.69
45,12.04
46,4.89
47,4.15
48,7.71
50,30.61
51,30.61
52,19.77
53,30.61
54,10.21
56,7.27
57,18.54
58,6.8
59,35.96
60,18.61
62,35.96
64,36.23
65,6.95
66,23.15
67,20.45
69,20.91
72,18.61
73,5.71
74,8.93
75,6.8
77,12.35
78,22.83
79,30.61
80,14.89
81,7.85
83,13.46
84,13.46
87,13.74
88,6.05
90,18.61
91,16.09
93,30.61
94,22.78
95,18.61
96,25.39
98,18.61
99,20.45
101,1.82
102,1.78
104,1.47
105,2.37
106,3.45
107,1.5
108,1.5
109,1.47
110,1.78
111,1.5
112,2.4
114,1.47
115,1.47
116,1.47
117,1.9
118,1.47
121,1.5
122,1.17
123,1.47
124,1.75
125,1.75
126,0.95
127,0.8
130,0.87
135,0.74
137,0.787
139,0.95
140,1.2
141,0.8
143,0.84
144,0.99
145,0.81
147,0.84
148,0.94
149,0.94
150,0.826
151,0.55
152,0.99
153,0.99
154,0.88
155,0.51
157,0.84
158,0.54
159,0.51
161,0.826
162,0.99
163,0.95
165,0.54
166,0.55
167,0.81
168,0.73
169,0.54
170,0.83
171,0.55
172,0.64
173,0.51
174,0.72
175,0.787
176,1.05
178,0.52
179,1.05
180,0.51
181,0.48
182,0.58
183,0.47
184,0.75
185,0.58
187,0.51
188,0.57
189,0.57
190,0.75
191,0.57
193,0.65
194,0.787
195,0.32
196,0.52
197,0.51
198,0.57
199,0.58
200,0.75
201,6.79
202,5.7
203,4.6
204,4.43
208,8.1
209,5.7
210,4.6
211,14.79
212,13.6
213,6.79
214,5.7
215,9.4
217,4.43
219,9.4
220,4.43
221,6.79
223,9.4
224,9.4
225,4.6
227,4.43
228,9.4
229,6.79
233,5.7
234,5.7
235,9.4
236,4.43
237,13.6
238,9.4
239,4.43
240,9.4
241,7.13
242,7.13
243,7.6
244,9.4
245,9.4
246,6.79
248,4.6
249,7.6
250,13.6
251,9.9
252,6.82
253,9.9
254,9.9
255,5.35
256,13.6
257,13.6
258,13.6
260,13.6
261,5.97
262,5.8
263,7.7
264,7.0
265,8.7
266,7.0
267,9.4
269,10.0
270,10.0
271,10.0
273,7.5
274,6.8
275,13.6
277,13.6
278,8.4
279,13.6
280,5.9
281,7.6
282,14.0
283,11.8
284,5.9
286,7.9
287,7.5
290,6.4
292,8.4
293,9.9
294,6.8
296,11.6
297,5.9
299,12.5
300,5.9
